"Роль";"Доменные группы (без префикса стенда)";"Примечание"
"DS";"sum_ds_kmbkcb, sum_ds_ptitpc, sum_ds_rnd, sum_ds_rb, sum_ds_finmdl";""
"Руководитель DS";"sum_Lds_kmbkcb, sum_Lds_ptitpc, sum_Lds_rnd, sum_Lds_rb, sum_Lds_finmdl";""
"DE";"sum_de_kmbkcb, sum_de_ptitpc, sum_de_rnd, sum_de_rb, sum_de_finmdl";""
"Руководитель DE";"sum_Lde_kmbkcb, sum_Lde_ptitpc, sum_Lde_rnd, sum_Lde_rb, sum_Lde_finmdl";""
"ModelOps";"sum_mo_kmbkcb, sum_mo_ptitpc, sum_mo_rnd, sum_mo_rb, sum_mo_finmd";""
"Руководитель ModelOps";"sum_Ldmo_kmbkcb, sum_Ldmo_ptitpc, sum_Ldmo_rnd, sum_Ldmo_rb, sum_Ldmo_finmdl";""
"Бизнес-партнёр";"sum_mipm";"разнесено"
"Бизнес-партнёр стрима";"sum_mipm_kmbkcb, sum_mipm_rb, sum_mipm_ptitpc, sum_mipm_rnd, sum_mipm_finmdl";"разнесено"
"Валидатор";"sum_validator";""
"Руководитель валидации";"sum_Ldvalidator";""
"Архитектор данных ML";"sum_arch_kmbkcb, sum_arch_ptitpc, sum_arch_rnd, sum_arch_rb, sum_arch_finmdl";""
"Аналитик качества работы моделей ДАДМ";"sum_mntranlst";""
"Аналитик качества модельных данных";"sum_da";"разнесено"
"Аналитик качества модельных данных стрима";"sum_da_kmbkcb, sum_da_ptitpc, sum_da_rnd, sum_da_rb, sum_da_finmdl";"разнесено"
"Прикладной администратор";"sum_appadmin";""
"Аудитор ИБ";"sum_auditorib";""
"Аудитор";"sum_auditor";""
"Руководитель программ ДАДМ";"sum_saprg   (тест: saprg / saprg)";""
"Конфигуратор Смарт-Анкеты";"sum_sacfg   (тест: sacfg / sacfg)";""
"Представитель стрима — не участника ЖЦМ";"sum_sarep_idsrc, sum_sarep_mdlctl, sum_sarep_pirm, sum_sarep_strdat, sum_sarep_digagt, sum_sarep_dadm   (тест: sarep / sarep)";""
"Бизнес-заказчик";"sum_bc_<подразделение> — 98 групп";"Нет доступа"
"Сотрудник проектного офиса";"sum_prjtoffice";"Нет доступа"
