"Роль";"Просмотр списка анкет";"Просмотр карточки анкеты";"Создание";"Редактирование";"Удаление";"Экспорт";"Завершение заполнения раздела/блока";"Завершение заполнения анкеты";"Блокировка/фиксация среза*
(функционал пока не разработан)";"Администрирование";"Аудит";"Примечание"
"DS (test_ds) ✓ 
Проверяет Кирилл";"✅ (корр)";"✅ (корр)";"— (корр)";"— (корр)";"— (корр)";"✅ (корр)";"— (корр)";"— (корр)";"— (?)";"— (корр)";"— (?)";"Уровень А
Реестр и карточка:
Анкеты своего стрима  - полная детализация содержимого и оценок.
Анкеты других стримов не доступны."
"Руководитель DS (test_ds_lead) ✓ 
Проверяет Кирилл

 1. KIB_SMB ( Разработка моделей КМБ и КСБ) 
 2. PARTNERSHIPS_IT_IT (AI-модели партнерств)
 3. PARTNERSHIPS_IT_RND (Моделирование RnD)
 4. RB (Моделирование РБ)
 5. PROCESS_FINANCIAL (Финансовое моделирование)";"✅ (корр)";"✅ (корр)";"✅ (БАГ! Недоступно создание анкеты!)";"✅ (БАГ! Недоступно редактирование!)";"✅ (БАГ! Недоступно удаление!)";"✅ (корр)";"✅ (БАГ! НЕДОСТУПНО ЗАВЕРШЕНИЕ!)";"✅ (БАГ! НЕДОСТУПНО ЗАВЕРШЕНИЕ!)";"— (?)";"— (корр)";"— (?)";"Уровень B
Анкеты своего стрима - полная детализация содержимого и оценок.
Анкеты других стримов— без оценок.
Создание/удаление/завершение — в рамках анкет своего стрима."
"DE (test_de) БЛОК
Проверяет Кирилл

 1. KIB_SMB ( Разработка моделей КМБ и КСБ) 
 2. PARTNERSHIPS_IT_IT (AI-модели партнерств)
 3. PARTNERSHIPS_IT_RND (Моделирование RnD)
 4. RB (Моделирование РБ)
 5. PROCESS_FINANCIAL (Финансовое моделирование)";"✅  Нужно зайти за учетку, которая принадлежит определенному стриму";"✅  (корр)";"— (корр)";"— (корр)";"— (корр)";"✅  (корр)";"— (корр)";"— (корр)";"—  (?)";"—  (корр)";"—  (корр)";"Уровень А
Реестр и карточка:
Анкеты своего стрима  - полная детализация содержимого и оценок.
Анкеты других стримов не доступны."
"Руководитель DE (test_de_lead)  ✓
Проверяет Кирилл";"✅ (корр)";"✅ (корр)";"— (корр)";"✅ (корр)";"— (корр)";"✅(корр)";"✅ (БАГ! Нету кнопок завершения заполнения блоков/вкладочек этих!)";"✅ (БАГ! Нет кнопки  ""заврешить заполнение анкеты"")";"—  (?)";"—  (корр)";"—  (?)";"Уровень B
Анкеты своего стрима - полная детализация содержимого и оценок.
Анкеты других стримов— без оценок.
Редактирование и завершение — в рамках анкет своего стрима.
Без создания и удаления."
"ModelOps (test_modelops)  БЛОК
Проверяет Кирилл";"✅  (корр)";"✅  (корр)";"— (корр)";"— (корр)";"—  (корр)";"✅  (корр)";"— (корр)";"— (корр)";"—  (?)";"— (корр)
.";"—  (?)";"Уровень А
Реестр и карточка:
Анкеты своего стрима  - полная детализация содержимого и оценок.
Анкеты других стримов не доступны."
"Руководитель ModelOps (test_modelops_lead)
Проверяет Кирилл";"✅ (корр)";"✅ (корр)";"✅ (корр)
.";"✅ (корр)";"✅ (БАГ! Должно быть доступно удаление, а сейчас он удалить анкеты не может)";"✅ (корр)";"✅ (БАГ! Пользователь не может подтверждать блоки  (вкладочки эти)";"✅ (БАГ! Пользователь не может нажать на кнопку ""Завершить заполнение анкеты"", кнопку ему не видна!)";"—  (?)";"—  (корр)
.";"—  (?)";"Уровень B
Анкеты своего стрима - полная детализация содержимого и оценок.
Анкеты других стримов— без оценок.
Создание/удаление/завершение — в рамках анкет своего стрим."
"Бизнес-партнёр (test_mipm) ✓
Проверяет Кирилл";"✅(корр)";"✅(корр)";"—(корр)";"—(корр)";"—(корр)";"✅(корр)";"—(корр)";"—(корр)";"—(?)";"—(корр)";"— (?)";"Уровень C 
Все анкеты, полная детализация. Только чтение и экспорт."
"Бизнес-партнёр стрима
НЕ АКТИВЕН (Айсылу)";"✅";"✅";"—";"—";"—";"✅";"—";"—";"—";"—";"—";"Уровень А
Реестр и карточка:
Анкеты своего стрима  - полная детализация содержимого и оценок.
Анкеты других стримов не доступны.
Только чтение и экспорт."
"Валидатор (test_validator) ✓
Проверяет Кирилл";"✅(корр)";"✅(корр)";"—(корр)";"— (корр)";"—(корр)";"✅(корр)";"— (корр)";"— (корр)";"— (?)";"—(корр)";"— (?)";"Уровень B
Видны все анкеты, но без оценок. Карточка анкеты - без оценок работ; экспорт списка без оценок."
"Руководитель валидации (test_validator_lead) ✓
Проверяет Кирилл
БАГ! ЕМУ ВООБЩЕ СМАРТ-АНКЕТА НЕ ДОСТУПНА!!";"✅(корр)
БАГ! ЕМУ ВООБЩЕ СМАРТ-АНКЕТА НЕ ДОСТУПНА!!";"✅(корр)";"—(корр)";"—(корр)";"—(корр)";"✅(корр)";"—(корр)";"—(корр)";"— (?)";"—(корр)";"— (?)";"Уровень B
Как Валидатор."
"Архитектор данных ML
НЕ АКТИВЕН (Айсылу)";"✅";"✅";"—";"✅";"—";"✅";"✅";"—";"—";"—";"—";"Уровень B
Анкеты своего стрима - полная детализация содержимого и оценок.
Анкеты других стримов— без оценок работ.
Редактирование и завершение — в рамках анкет своего стрима.
Без создания и удаления."
"Аналитик качества работы моделей ДАДМ
НЕ АКТИВЕН (Айсылу)";"✅";"✅";"—";"✅";"—";"✅";"✅";"—";"—";"—";"—";"Уровень B
Дублирует роль представитель стрима - не участника ЖЦМ ""Контроль моделей"".
Видит, редактирует свой блок. Завершает свой раздел, но не анкету."
"Аналитик качества модельных данных
НЕ АКТИВЕН (Айсылу)";"✅";"✅";"—";"✅";"—";"✅";"—";"—*
*В рамках первой итерации недоступно";"—";"—";"—";"Уровень B
Свой блок. Завершает анкету (немодельную), но не раздел."
"Аналитик качества модельных данных стрима
НЕ АКТИВЕН (Айсылу)";"✅";"✅";"—";"✅";"—";"✅";"—";"—";"—";"—";"—";"Уровень А
Реестр и карточка:
Анкеты своего стрима  - полная детализация содержимого и оценок.
Анкеты других стримов не доступны."
"Прикладной администратор
(test_sum_appadmin)
Проверяет Кирилл
БАГ! ЕМУ ВООБЩЕ СМАРТ-АНКЕТА НЕ ДОСТУПНА!!";"✅(корр)";"✅(корр)";"—(БАГ! Данный пользователь не должен уметь создавать анкеты, а он сейчас может их создавать!)";"—(БАГ! Данный пользователь не должен уметь редактировать созданную анкету!)";"—(БАГ! Данному пользователю не должно быть доступно удалять анкеты!)";"—(БАГ! Данному пользователю не должно быть доступно выгружать таблицу с анкетами!!)";"—(БАГ! Данному пользователю должно быть не доступно подтверждать блоки!)";"—(БАГ! Данному пользователю не должно быть доступно подтверждать анкету полностью!)";"— (?)";"✅ (корр)";"✅ (?)";"Уровень C 
Все анкеты, полная детализация.
Администрирование и аудит; без экспорта (сознательно)."
"Аудитор ИБ
(test_sum_auditorib)
Проверяет Кирилл
БАГ! ЕМУ ВООБЩЕ СМАРТ-АНКЕТА НЕ ДОСТУПНА!!";"✅ (корр)
БАГ! ЕМУ ВООБЩЕ СМАРТ-АНКЕТА НЕ ДОСТУПНА!!";"✅(корр)";"—(корр)";"—(корр)";"—(корр)";"✅(корр)";"—(корр)";"—(корр)";"— (?)";"—(корр)";"✅(корр)";"Уровень C 
Все анкеты, полная детализация.
Чтение журналов аудита."
"Аудитор
(test_auditor)
Проверяет Кирилл
БАГ! ЕМУ ВООБЩЕ СМАРТ-АНКЕТА НЕ ДОСТУПНА!!";"✅ (корр)
БАГ! ЕМУ ВООБЩЕ СМАРТ-АНКЕТА НЕ ДОСТУПНА!!";"✅(корр)";"—(корр)";"—(корр)";"—(корр)";"✅(корр)";"—(корр)";"—(корр)";"— (?)";"—(корр)";"✅(корр)";"Уровень C 
Все анкеты, полная детализация.
Чтение журналов аудита."
"Руководитель программ ДАДМ (test_sum_saprg) ✓
Проверяет Кирилл";"✅ (корр)";"✅ (корр)";"— (корр)";"— (корр)";"— (корр)";"✅ (корр)";"— (корр)";"— (корр)";"—
[пока не доступно в рамках первой итерации]";"— (корр)";"— (?)";"Уровень C 
Все анкеты, полная детализация.
Блокировка (фиксация среза) по всем анкетам."
"Конфигуратор Смарт-Анкеты (test_sum_sacfg)
Проверяет Кирилл";"✅ (корр)";"✅ (корр)";"✅ (корр)";"✅ (корр)";"✅ (корр)";"✅ (корр)";"✅ (корр)";"✅ (корр)";"—
[пока не доступно в рамках первой итерации]";"✅ (корр)";"— (?)";"Уровень C 
Все анкеты, полная детализация.
Полный набор работ по содержимому анкеты, кроме блокировки и аудита; администрирование."
"Представитель стрима — не участника ЖЦМ
Проверяет Кирилл
 1. test_sum_sarep_dadm (ДАДМ общ. Проектные активности)
 2. test_sum_sarep_digagt (Цифровые агенты)
 3. test_sum_sarep_idsrc (Источники Данных)
 4. test_sum_sarep_mdlctl (Контроль Моделей)
 5. test_sum_sarep_pirm (Платформы решений для моделирования)
 6. test_sum_sarep_strdat (Потоковые данные)";"✅


 1. (корр)




2.  (корр)


      3) (корр)";"✅


 1. (корр)




2) (корр)


       3) (корр)";"[пока не доступно в рамках первой итерации]";"✅


 1. (корр)




2) (корр)


       3)";"[пока не доступно в рамках первой итерации]";"✅


 1. (корр)




2) (корр)";"✅


 1. (корр)




2) (корр)";"[пока не доступно в рамках первой итерации]";"— (?)";"—


 1. (корр)




2) (корр)";"— (?)";"Уровень B
Видит список анкеты своего стрима+ анкеты других стримов, где привлечён.
Создание/завершение — только по немодельным шаблонам конфигурации анкеты"
"Бизнес-заказчик
(test_business_customer) ✓
Проверяет Кирилл";"— (корр)";"— (корр)";"— (корр)";"— (корр)";"— (корр)";"— (корр)";"—(корр)";"—(корр)";"— (?)";"— (корр)";"— (корр)";"Доступ не предоставляется."
"Сотрудник проектного офиса
(test_prjtoffice)
Проверяет Кирилл
✓";"— (корр)";"— (корр)";"— (корр)";"— (корр)";"— (корр)";"— (корр)";"—(корр)";"—(корр)";"— (?)";"— (корр)";"— (корр)";"Доступ не предоставляется."
