"Стрим";"К чему привязан/Расположение на UI";"Наименование параметра";"Значение параметра";"Вид параметра";"Тип контрола";"Комментарий аналитика"
"-";"Общая информация - Модельный сервис - Параметры";"Тип работ";"Разработка
Доработка
Настройка";"Справочник";"Single-select";"Список не финальный"
"-";"Детальная информация - Система-источник - Параметры";"Тип работ";"Разработка
Доработка
Настройка";"Справочник";"Single-select";"Список не финальный"
"-";"Детальная информация Процессы обработки данных - Параметры";"Тип работ";"Разработка
Доработка
Настройка";"Справочник";"Single-select";"Список не финальный"
"-";"Детальная информация -Объект/Витрина данных - Параметры";"Тип работ";"Разработка
Доработка
Настройка";"Справочник";"Single-select";"Список не финальный"
"";"Детальная информация - Модель - Параметры";"Тип работ";"Обучение
Дообучение
Калибровка";"Справочник";"Single-select";"Список не финальный"
"Контроль моделей";"Общая информация - Параметры";"Оценка реализации на пре-промышленном контуре (MVP/Прототип)";"Требуется
Не требуется";"Логический признак";"Single-select";""
"Контроль моделей";"Общая информация - Параметры";"Определение необходимости промышленной реализации";"Требуется
Не требуется";"Логический признак";"Single-select";""
"Контроль моделей";"Общая информация - Параметры";"Оценка новых интеграционных решений";"Требуется
Не требуется";"Логический признак";"Single-select";"."
"Контроль моделей";"Общая информация - Модельный сервис - Параметры";"Класс моделей";"1 — Розничные регуляторные модели
2 — Розничные бизнес-модели
3 — Розничные модели CRM
4 — Розничные модели Collection
5 — Корпоративные регуляторные модели
6 — Корпоративные бизнес-модели
7 — Прочие корпоративные модели
8 — Модели финансового моделирования
9 — Модели цифровых помощников";"Справочник";"Single-select";""
"Контроль моделей";"Общая информация - Модельный сервис - Параметры";"Вид контроля";"КД — Качество модельных данных; ТМ — Технический контроль; ОК — Оперативный контроль; АК — Аналитический контроль; КМЗ — Контроль модельных значений; ОВ — Оценка влияния моделей";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";""
"Контроль моделей";"Общая информация - Модельный сервис - Параметры";"ПК - Рекалибровка модели";"Поправочный коэффициент - Рекалибровка модели (×0.25 на ОК/АК/КМЗ)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";"Справочник №17 «Поправочные (повышающие) коэффициенты контроля моделей» — строка «Рекалибровка модели»"
"Контроль моделей";"Общая информация - Модельный сервис - Параметры";"ПК - Использование существующей модели в другом канале";"Поправочный коэффициент - Использование в другом канале (×1 / ×0.75 / ×1)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";"Справочник №17 — строка «Использование в другом канале»"
"Контроль моделей";"Общая информация - Модельный сервис - Параметры";"ПК - Переработка существующей модели, которая стоит на контроле";"Поправочный коэффициент - Переработка существующей модели (×1 / ×0.75 / ×0.75)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";"Справочник №17 — строка «Переработка существующей модели»"
"Контроль моделей";"Общая информация - Модельный сервис - Параметры";"ПК - Модель ПВР/Регуляторная";"Поправочный коэффициент - Модель ПВР / Регуляторная (×1.5 / ×1.5 / ×1.5)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";"Справочник №17 — строка «Модель ПВР / Регуляторная»"
"Контроль моделей";"Общая информация - Модельный сервис - Параметры";"ПК - Новый тип модели по направлению моделирования";"Поправочный коэффициент - Новый тип модели (×2.0 / ×2.0 / ×2.0)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";"Справочник №17 — строка «Новый тип модели»"
"Контроль моделей";"Детальная информация - Модель - Параметры";"ПК - Ансамбль / каскад моделей";"Поправочный коэффициент - Ансамбль или каскад моделей (×2.3 / ×2.3 / 0)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";"Справочник №17 — строка «Ансамбль или каскад моделей» (связан со справочником №23 «Количество моделей»)"
"Контроль моделей";"Контроль моделей - Локальный параметр";"ПК - Применение модели/сервиса в разных контурах (region и inno.local), что влечет за собой сохранение логов с результатами применения модели/сервиса в разных витринах-источниках";"Поправочный коэффициент - Применение в разных контурах region/inno.local (×1.1 / ×1.1 / 0)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы";"Справочник №17 — строка «Применение в разных контурах region/inno.local»"
"Контроль моделей";"Контроль моделей - Локальный параметр";"ПК - Применение модели/сервиса для разных пользовательских сценариев (коэффициент применяется на каждый доп. сценарий, т.е. применяется коэффициент в степени n, где n — количество сценариев)";"Поправочный коэффициент - Разные пользовательские сценарии (×1.05 или ×1.5)";"Справочник";"Multi-select флажков";"Справочник №17 — строка «Разные пользовательские сценарии»)"
"Контроль моделей";"Контроль моделей - Локальный параметр";"ПК - Определенность структуры логов или необходимость её проработки (применяется при необходимости проработки структуры логов)";"Поправочный коэффициент - Структура логов (×1.25 / ×1.25 / ×1.25)";"Справочник";"Multi-select флажков";"Справочник №17 — строка «Структура логов»"
"Контроль моделей";"Контроль моделей - Локальный параметр";"ПК - Отсутствие необходимости контролировать работу каждой отдельной модели, требуется контролировать работу сервиса / каскада моделей";"Поправочный коэффициент - Контроль работы сервиса вместо моделей (×1 / ×1 / 0)";"Справочник";"Multi-select видов контроля ОК, АК, КМЗ
Значения из матрицы ПК и видов контроля";"Справочник №17 — строка «Контроль работы сервиса вместо моделей»"
"Источники данных";"Детальная информация - Система-источник - Параметры";"Тип источника";"Внутренний
Внешний";"Справочник";"Single-select";"Для каждого свой набор параметров"
"Источники данных
 - Внутренний";"Детальная информация - Система-источник - Параметры";"Источник с репликой в ДАПП";"Да
Нет";"Логический признак";"Single-select";"Логический признак №4 «Наличие реплики источника в ДАПП»"
"Источники данных - Внутренний";"Детальная информация - Система-источник - Параметры";"Требования по Источникам не понятны";"Понятны
Не понятны";"Логический признак";"Single-select";"Логический признак №7 «Определённость источников / поиск» (внутр. данные, этап 210)"
"Источники данных - Внутренний";"Детальная информация - Система-источник - Параметры";"Риск привнесения новых требований (неопределенные на данный момент Источники/Метрики с неопредел.логикой расчета)";"Есть
Нет";"Логический признак";"Single-select";"Коэффициент в разрезе количества источников данных:
1 (×1.0); 2 (×1.2); 3 (×1.4); 4 (×1.6); 5 (×1.8); 6 (×2.0); 7 (×2.2); 8+ (×2.4)"
"Источники данных - Внутренний";"Детальная информация -Объект/Витрина данных - Параметры";"Риск привнесения новых требований (неопределенные на данный момент Источники/Метрики с неопредел.логикой расчета)";"Есть
Нет";"Логический признак";"Single-select";"Коэффициент в разрезе количества объектов/витрин данных:
1 (×1.0); 2 (×1.2); 3 (×1.4); 4 (×1.6); 5 (×1.8); 6 (×2.0); 7 (×2.2); 8+ (×2.4)"
"Источники данных";"Детальная информация -Объект/Витрина данных - Параметры";"Готовность к интеграции в ПД";"Высокая готовность, доработки не требуются (×0.5); 

Доработки ИС, простая архитектура (×0.8);

Сложная интеграция, доработка источника (×1.2)";"Справочник";"Single-select";"Справочник №32  — уровень «Высокая готовность, доработки не требуются»"
