Sheet: Параметры Платформенный стрим
Стрим,Архитектурный компонент,Параметр,Область применения параметра,Общий / локальный,Тип параметра,Пример значения,UX-решение
Источники данных,Система-источник,1. Кол-во Источников к Исследованию (с репликой в ДАПП),"Этап_210. Исследование и описание внутренних источников, выгрузка тестовых данных, мониторинг изменений источников",,Числовой счётчик,3,"Числовое поле (stepper): ввод целого числа ≥ 0, стрелки +/−, шаг 1"
Источники данных,Система-источник,2. Кол-во Источников к Исследованию (без реплики в ДАПП),"Этап_210. Исследование и описание внутренних источников, выгрузка тестовых данных, мониторинг изменений источников",,Числовой счётчик,2,"Числовое поле (stepper): ввод целого числа ≥ 0, стрелки +/−, шаг 1"
Источники данных,Система-источник,3. Требования по Источникам не понятны (кол-во Источников),"Этап_210. Исследование и описание внутренних источников, выгрузка тестовых данных, мониторинг изменений источников",,Числовой счётчик,1,Числовое поле (stepper): ввод целого числа ≥ 0; метка «риск» подсвечивает значение > 0 жёлтым
Источники данных,Система-источник,4.Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований),"Этап_210. Исследование и описание внутренних источников, выгрузка тестовых данных, мониторинг изменений источников",,Числовой счётчик,2,Числовое поле (stepper): ввод целого числа ≥ 0; иконка ⚠️ и подсказка о рисках при значении > 0
Источники данных,Объект / Набор данных,Кол-во источников в витрине,Этап_211. Разработка БТ на витрину данных,,Числовой счётчик,5,Числовое поле (stepper): ввод целого числа ≥ 0
Источники данных,Объект / Набор данных,Кол-во неопределенных на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований),Этап_211. Разработка БТ на витрину данных,,Числовой счётчик,1,Числовое поле (stepper): ввод целого числа ≥ 0; иконка ⚠️ при значении > 0
Источники данных,Процесс обработки данных,Кол-во источников к интеграции в ПД(Высокая готовность (не требуются доработки)+простая архитектура),Этап_211. Разработка БТ на поток данных (интеграцию),,Числовой счётчик,4,Числовое поле (stepper): ввод целого числа ≥ 0
Источники данных,Процесс обработки данных,"Кол-во источников к интеграции в ПД(Доработки ИС (ЛМД,и т.д)+простая архитектура)",Этап_211. Разработка БТ на поток данных (интеграцию),,Числовой счётчик,2,Числовое поле (stepper): ввод целого числа ≥ 0
Источники данных,Процесс обработки данных,"Кол-во источников сложная интеграция (проработка архитектуры,доработка источника)",Этап_211. Разработка БТ на поток данных (интеграцию),,Числовой счётчик,1,Числовое поле (stepper): ввод целого числа ≥ 0; метка «сложная» — подсвечивает значение > 0 оранжевым
