"№";"Раздел";"Арх.компонент / Элемент";"Параметр (название)";"Тип";"Значения справочника / варианты"
"▸ Общая информация";"";"";"";"";""
"1";"Общая информация";"";"Название анкеты";"Строка (свободный ввод)";""
"2";"Общая информация";"";"RFD";"Строка (свободный ввод)";""
"3";"Общая информация";"";"ФИО заказчика";"Строка (свободный ввод)";""
"4";"Общая информация";"";"Департамент заказчика";"Множественный выбор (справочник)";"Административный департамент
Аппарат президента - председателя правления
Группа контролера профессионального участника рынка ценных бумаг
Группа по развитию и координации международного бизнеса
Департамент администрирования региональной сети
Департамент администрирования сети
Департамент анализа данных и моделирования
Департамент анализа, координации и продуктового развития
Департамент андеррайтинга
Департамент брокерского обслуживания
Департамент внутреннего аудита
Департамент залогов
Департамент инвестиционных продуктов
Департамент интегрированного управления рисками
Департамент интегрированного управления рисками.Управление консолидированного анализа рисков
Департамент интегрированного управления рисками.Управление операционных рисков
Департамент интегрированного управления рисками.Управление развития риск-технологий и процессов
Департамент интегрированного управления рисками.Управление рыночных рисков
Департамент ИТ-архитектуры
Департамент клиентского обслуживания
Департамент комплаенс-контроля и финансового мониторинга
Департамент координации и анализа бизнеса
Департамент корпоративного цифрового бизнеса
Департамент корпоративных кредитных рисков
Департамент корпоративных кредитных рисков.Управление анализа кредитных рисков КИБ
Департамент корпоративных кредитных рисков.Управление анализа рисков финансирования проектов и финансовых компаний
Департамент корпоративных кредитных рисков.Управление портфельного анализа
Департамент корпоративных кредитных рисков.Управление развития кредитных процедур
Департамент кредитного розничного бизнеса
Департамент кредитного розничного бизнеса.Управление Автокредитование
Департамент кредитного розничного бизнеса.Управление Альтернативное кредитование
Департамент кредитного розничного бизнеса.Управление Ипотечное кредитование
Департамент кредитного розничного бизнеса.Управление координации и поддержки кредитных продуктов
Департамент кредитного розничного бизнеса.Управление Кредитные карты
Департамент кредитного розничного бизнеса.Управление Общекредитные процессы и сервисы
Департамент кредитного розничного бизнеса.Управление Потребительское кредитование
Департамент кредитного розничного бизнеса.Управление Страхование
Департамент кредитования регионального бизнеса
Департамент маркетинга и рекламы
Департамент непрофильных активов
Департамент непрофильных и проблемных активов
Департамент обеспечения безопасности
Департамент операционной модели цифрового развития
Департамент операционной поддержки бизнеса
Департамент операционной поддержки бизнеса.Управление валютного контроля и банковского сопровождения
Департамент операционной поддержки бизнеса.Управление инфраструктуры налично-денежного обращения
Департамент операционной поддержки бизнеса.Управление качества учетно-операционных данных
Департамент операционной поддержки бизнеса.Управление кредитных и документарных операций физических лиц
Департамент операционной поддержки бизнеса.Управление кредитных и документарных операций юридических лиц
Департамент операционной поддержки бизнеса.Управление операционного контроля и хранения документов
Департамент операционной поддержки бизнеса.Управление организации операционного производства
Департамент операционной поддержки бизнеса.Управление платежных продуктов и систем
Департамент операционной поддержки бизнеса.Управление поддержки инвестиционного бизнеса
Департамент операционной поддержки бизнеса.Управление Развитие технологий эквайринга
Департамент операционной поддержки бизнеса.Управление Расчетный центр
Департамент операционной поддержки бизнеса.Управление региональных операционных сервисов
Департамент операционной поддержки бизнеса.Управление сопровождения запросов и взысканий
Департамент операционной поддержки бизнеса.Управление сопровождения карточных операций
Департамент операционной поддержки бизнеса.Управление сопровождения кредитов КИБ и документарных операций КИБ и СМБ
Департамент операционной поддержки бизнеса.Управление сопровождения кредитов СМБ
Департамент операционной поддержки бизнеса.Управление транзакционных операций физических лиц
Департамент операционной поддержки бизнеса.Управление транзакционных операций юридических лиц
Департамент операций на рынке акций
Департамент организации и контроля технологического развития
Департамент партнерств
Департамент партнерств.Управление развития партнерств
Департамент поддержки прикладных систем и сервисов
Департамент по обеспечению безопасности
Департамент по работе с клиентами базовых отраслей
Департамент по работе с клиентами рыночных отраслей
Департамент по работе с массовым сегментом
Департамент по работе с обращениями клиентов
Департамент по работе с персоналом
Департамент по работе с премиальными клиентами
Департамент по работе с премиальными клиентами.Дирекция привлечения и цифрового развития клиентов
Департамент по работе с премиальными клиентами.Управление по работе с премиальными клиентами
Департамент по работе с премиальными клиентами.Управление по работе с состоятельными клиентами
Департамент по работе с премиальными клиентами.Управление по развитию и администрированию бизнеса
Департамент по работе с премиальными клиентами.Управление продаж инвестиционных продуктов
Департамент по работе с премиальными клиентами.Управление проектной деятельности и аналитической поддержки
Департамент по работе с премиальными клиентами.Управление Состоятельные клиенты
Департамент по работе со СМИ
Департамент по работе с состоятельными клиентами
Департамент продаж в партнерских каналах
Департамент продаж продуктов финансовых рынков
Департамент развития и координации розничного бизнеса
Департамент развития и координации розничного бизнеса.Управление бизнес-аналитики
Департамент развития и координации розничного бизнеса.Управление методологической поддержки
Департамент развития и координации розничного бизнеса.Управление планирования и отчетности
Департамент развития и координации розничного бизнеса.Управление проектов розничного бизнеса
Департамент развития и координации розничного бизнеса.Управление развития розничного бизнеса в дочерних компаниях
Департамент развития и координации розничного бизнеса.Управление стратегического развития и мониторинга
Департамент развития инфраструктуры
Департамент развития инструментов обслуживания
Департамент развития клиентской базы
Департамент развития клиентской базы.Управление CRM кампаний
Департамент развития клиентской базы.Управление дистанционных продаж
Департамент развития клиентской базы.Управление Клиент 360
Департамент развития клиентской базы.Управление Розничный клиент
Департамент развития клиентской базы.Управление Технологии продаж и продвижения
Департамент развития клиентской базы.Управление продаж и развития клиентской базы
Департамент развития клиентской базы.Управление развития коммерческих компетенций
Департамент развития клиентского сервиса
Департамент развития международных расчетов
Департамент регионального корпоративного бизнеса
Департамент розничного бизнеса
Департамент розничного CRM
Департамент розничных кредитных рисков
Департамент розничных кредитных рисков.Управление количественной оценки рисков
Департамент розничных кредитных рисков.Управление портфельного анализа
Департамент розничных кредитных рисков.Управление развития процессов и технологий
Департамент розничных кредитных рисков_Управление методологии
Департамент розничных продуктов
Департамент розничных продаж
Департамент сбережений и зачислений
Департамент сбережений и зачислений.Управление Государственные услуги
Департамент сбережений и зачислений.Управление Зарплатные проекты
Департамент сбережений и зачислений.Управление Сбережения
Департамент сбережений и зачислений.Управление Старшее поколение
Департамент сбережений и зачислений.Управление экспертизы и поддержки процессов
Департамент стратегии и корпоративного развития
Департамент стратегии и корпоративного развития.Управление корпоративного развития
Департамент стратегии и корпоративного развития.Управление стратегии
Департамент стратегии и корпоративного развития.Управление стратегических проектов
Департамент стратегии и корпоративного развития.Управление Центр качества клиентского опыта
Департамент структурных продуктов и структурирования
Департамент технологического развития корпоративного бизнеса
Департамент технологического развития общебанковских систем
Департамент технологического развития розничного бизнеса
Департамент технологического развития систем поддержки бизнеса
Департамент транзакционного бизнеса
Департамент транзакционного розничного бизнеса
Департамент управления и координации технологических изменений
Департамент учета и отчетности
Департамент финансового урегулирования
Департамент цифрового бизнеса
Департамент эквайринга
Депозитарий
Дочерняя компания
Казначейство
Кредитный департамент
Специальный отдел
Тестовый департамент map
Управление Автокредитование
Управление Дебетовые карты и счета
Управление Зарплатные проекты
Управление Ипотечное кредитование
Управление координации и развития бизнеса в дочерних компаниях
Управление координации строительных проектов
Управление координации стратегических проектов по фондированию и лояльности
Управление корпоративной социальной ответственности и событийного маркетинга
Управление Кредитные карты
Управление модельных рисков и валидации
Управление обслуживания приоритетных клиентов
Управление по работе с залоговыми активами и урегулирования задолженности
Управление Потребительское кредитование
Управление продаж в корпоративном канале
Управление Программы лояльности
Управление развития розничного бизнеса в дочерних компаниях
Управление Сбережения
Управление специального информационного обеспечения
Управление структурных продуктов и структурирования
Управление сопровождения маркетинга и коммуникаций
Управление Центр инноваций
Управление Центр качества клиентского опыта
Управление экспертизы и фрод-мониторинга
Финансовый департамент
Юридический департамент"
"5";"Общая информация";"";"Стрим-исполнитель";"Выбор из справочника (одиночный)";"Разработка моделей КМБ и КСБ
Моделирование РБ
Моделирование RnD
Финансовое моделирование
AI-модели партнерств"
"6";"Общая информация";"";"Регуляторные требования";"Выбор из справочника (одиночный)";"1 — Проведение регулярной валидации Регулятором нормативно не установлено
2 — Проведение регулярной валидации Регулятором нормативно не установлено. Модель оценки риска
3 — Проведение регулярной валидации Регулятором нормативно не установлено. Заказчик запрашивает проведение первичной валидации модели
4 — Банком не планируется предоставление Модели Регулятору, но регулярная валидация установлена Регулятором
5 — Банком планируется предоставление Модели Регулятору для одобрения к использованию"
"7";"Общая информация";"";"Требуется создание информационной системы";"Логический (Да/Нет)";""
"8";"Общая информация";"";"Требуется создание сервиса";"Логический (Да/Нет)";""
"9";"Общая информация";"";"Количество оцениваемых инициатив";"Число";"Целое 1–99. По умолчанию 1"
"10";"Общая информация";"";"Необходимость продуктивизации и количество дополнительных витрин";"Справочник";"«Не требуется» или целое 1–99"
"11";"Общая информация";"";"Комментарий";"Строка (свободный ввод)";""
"12";"Общая информация";"";"Общая неопределённость";"Расчетный";""
"13";"Общая информация";"Модельный сервис";"Название модельного сервиса";"Строка (свободный ввод)";""
"14";"Общая информация";"Модельный сервис";"Тип работ";"Выбор из справочника (одиночный)";"Разработка
Внедрение
Доработка
Калибровка
Разработка и внедрение"
"15";"Общая информация";"Модельный сервис";"Класс моделей";"Выбор из справочника (одиночный)";"1 — Розничные регуляторные модели
2 — Розничные бизнес-модели
3 — Розничные модели CRM
4 — Розничные модели Collection
5 — Корпоративные регуляторные модели
6 — Корпоративные бизнес-модели
7 — Прочие корпоративные модели
8 — Модели финансового моделирования
9 — Модели цифровых помощников"
"16";"Общая информация";"Модельный сервис";"Каналы внедрения";"Множественный выбор (справочник)";"Батч
Батч + загрузка данных потребителю
Батч + Онлайн
Онлайн
Онлайн gpu
Стриминг
Мобильные устройства
LLM
Гео-сервисы
Внедрение в облаке
Графовая платформа"
"17";"Общая информация";"Модельный сервис";"Вид контроля";"Множественный выбор (справочник)";"КД — Качество модельных данных
ТМ — Технический контроль
ОК — Оперативный контроль
АК — Аналитический контроль
КМЗ — Контроль модельных значений
ОВ — Оценка влияния моделей"
"18";"Общая информация";"Модельный сервис";"Необходимость пилота (MVP)";"Логический (Да/Нет)";""
"19";"Общая информация";"Модельный сервис";"Необходимость поддержки проведения пилота";"Логический (Да/Нет)";""
"20";"Общая информация";"Модельный сервис";"ПВР/Регуляторная";"Логический (Да/Нет)";""
"21";"Общая информация";"Модельный сервис";"Первичное подключение ИС к РЕПО";"Логический (Да/Нет)";""
"22";"Общая информация";"Модельный сервис";"Хранение артефактов в РЕПО";"Логический (Да/Нет)";""
"23";"Общая информация";"Модельный сервис";"Перекладка артефактов между контурами посредством РЕПО";"Логический (Да/Нет)";""
"24";"Общая информация";"Модельный сервис";"Использование данных СХК через РЕПО";"Логический (Да/Нет)";""
"25";"Общая информация";"Модельный сервис";"Требуется оркестратор";"Логический (Да/Нет)";""
"26";"Общая информация";"Модельный сервис";"Требуется визуализация результатов работы модельного сервиса";"Логический (Да/Нет)";""
"27";"Общая информация";"Модельный сервис";"Тип БД для BI-системы";"Выбор из справочника (одиночный)";"Векторные
Графовые
Временные ряды и события
Документо-ориентированные
Специализированные"
"28";"Общая информация";"Модельный сервис";"Способ загрузки данных в BI-систему";"Выбор из справочника (одиночный)";"Ручной
Автоматизированный"
"▸ Детальная информация";"";"";"";"";""
"29";"Детальная информация";"";"Стримы вне ДАДМ";"Логический (Да/Нет)";""
"30";"Детальная информация";"";"Названия стримов";"Строка (свободный ввод)";""
"31";"Детальная информация";"Система-источник";"Название источника";"Строка (свободный ввод)";""
"32";"Детальная информация";"Система-источник";"Тип системы-источника";"Выбор из справочника (одиночный)";"Внутренний
Внешний"
"33";"Детальная информация";"Система-источник";"Наличие реплики в DAPP";"Логический (Да/Нет)";""
"34";"Детальная информация";"Система-источник";"Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик";"Логический (Да/Нет)";""
"35";"Детальная информация";"Система-источник";"Необходим новый тракт данных от источника";"Логический (Да/Нет)";""
"36";"Детальная информация";"Система-источник";"Необходимо подтвердить возможность интеграции";"Логический (Да/Нет)";""
"37";"Детальная информация";"Система-источник";"Сложность предметной области";"Выбор из справочника (одиночный)";"Низкая
Средняя
Высокая
Неизвестно"
"38";"Детальная информация";"Система-источник";"Количество сущностей (исходных таблиц)";"Выбор из справочника (одиночный)";"Точечное (1-4)
Малое (5-9)
Среднее (9-15)
Крупное (15-20)
Большое (20-25)
Масштабное (25+)
Неизвестно"
"39";"Детальная информация";"Система-источник";"Детализация и ясность запроса постановки задачи";"Выбор из справочника (одиночный)";"Высокая
Средняя
Низкая
Неизвестно"
"40";"Детальная информация";"Система-источник";"Риск появления дополнительных систем-источников";"Выбор из справочника (одиночный)";"Есть
Нет
Неизвестно"
"41";"Детальная информация";"Система-источник";"Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"42";"Детальная информация";"Система-источник";"NDA";"Выбор из справочника (одиночный)";"Стандартное
Нестандартное
Неизвестно"
"43";"Детальная информация";"Система-источник";"Наличие конфиденциальных данных";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
