Блок;Раздел;Название в смарт-анкете СУМ;Тип элемента;Тип справочника или значения
Детальная Информация;Арх. Компонент. Система-источник;Наличие реплики в DAPP;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Риск появления дополнительных систем-источников;Да/нет;
Детальная Информация;Арх. Компонент. Объект данных;Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик;Да/нет;
Детальная Информация;Арх. Компонент. Процесс обработки данных;Сложность реализации;Справочник;"Неизвестно
Высокая
Средняя
Низкая"
Детальная Информация;Арх. Компонент. Объект данных;Необходима продуктивизация;да/нет;
Детальная Информация;Арх. Компонент. Объект данных;Количество метрик;Число;
Детальная Информация;Арх. Компонент. Система-источник;Необходим новый тракт данных от источника;Справочник;"Неизвестно
Высокая
Средняя
Низкая"
Детальная Информация;Арх. Компонент. Система-источник;Необходимо подтвердить возможность интеграции;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Тип системы-источника;Справочник;"Внутренний
Внешний"
Детальная Информация;Арх. Компонент. Система-источник;Сложность предметной области;Справочник;"Низкая
Средняя
Высокая"
Детальная Информация;Арх. Компонент. Система-источник;Количество сущностей (исходных таблиц);Справочник;"Неизвестно
Точечное (1-4)
Малое (5-9)
Среднее (9-15)
Крупное (15-20)
Большое (20-25)
Масштабное (25+)"
Детальная Информация;Арх. Компонент. Система-источник;Детализация и ясность запроса постановки задачи;Справочник;"Низкая
Средняя
Высокая"
Детальная Информация;Арх. Компонент. Система-источник;Риск появления дополнительных систем-источников;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Система-источник;Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Система-источник;NDA;Справочник;"Неизвестно
Стандартная
Нестандартная"
Детальная Информация;Арх. Компонент. Система-источник;Наличие конфиденциальных данных;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Система-источник;Пилот;Справочник;"Нет
Первичный
Повторный"
Детальная Информация;Арх. Компонент. Система-источник;Наличие юридического основания для пилота;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Система-источник;Требуется хэширование/ шифрование?;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Система-источник;Режим обмена данными;Справочник;"Неизвестен
Одностороний
Двусторонний"
Детальная Информация;Арх. Компонент. Система-источник;Тип загрузки данных;Справочник;"Однократный
Регламентный"
Детальная Информация;Арх. Компонент. Система-источник;Предусмотрено проведение конкурса?;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Система-источник;Форма договора;Справочник;"Неизвестно
Стандартная
Нестандартная"
Детальная Информация;Арх. Компонент. Процесс обработки данных;Тип работ;Справочник;"Разработка
Доработка"
Детальная Информация;Арх. Компонент. Процесс обработки данных;Способ предоставления данных заказчику;Справочник;"Неизвестно
Непосредственно
Опосредованно"
Детальная Информация;Арх. Компонент. Процесс обработки данных;Сложность реализации;Справочник;"Неизвестно
Высокая
Средняя
Низкая"
Детальная Информация;Арх. Компонент. Процесс обработки данных;Наличие конфиденциальных данных;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Процесс обработки данных;Требуется хэширование/ шифрование;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Процесс обработки данных;Двусторонний обмен данными;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Объект данных;Тип работ;Справочник;"Не требуется
Разработка
Доработка"
Детальная Информация;Арх. Компонент. Объект данных;Способ предоставления данных заказчику;Справочник;"Неизвестно
Непосредственно
Опосредованно"
Детальная Информация;Арх. Компонент. Объект данных;Отсутствует?;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Объект данных;Сложность реализации;Справочник;"Неизвестно
Высокая
Средняя
Низкая"
Детальная Информация;Арх. Компонент. Объект данных;Наличие конфиденциальных данных;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Объект данных;Требуется хэширование/ шифрование;Справочник;"Неизвестно
Да
Нет"
Детальная Информация;Арх. Компонент. Объект данных;Двусторонний обмен данными;Справочник;"Неизвестно
Да
Нет"
Источники данных;Параметры;Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?;Справочник;"Неизвестно
Да
Нет"
Источники данных;Параметры;Объем изменений в ТИС;Справочник;"Неизвестно
Точечное (1-4)
Малое (5-9)
Среднее (9-15)
Крупное (15-20)
Большое (20-25)
Масштабное (25+)"
Источники данных;Параметры;Необходимость изучения регламентов Банка;Справочник;"Неизвестно
Да
Нет"
Источники данных;Параметры;Необходимо пересогласование артефакта;Справочник;"Неизвестно
Да
Нет"
Общая информация;Арх. Компонент. Модельный сервис;Каналы внедрения;Справочник;"Не требуется
Батч
Батч+загрузка данных потребителю
Батч+Онлайн
Онлайн
Онлайн GPU
Стриминг
Мобильные устройства
LLM
Гео-сервисы
Внедрение в облаке
Графовая платформа"
Контроль моделей;Параметры;Количество интеграционных решений;Число;
Контроль моделей;Параметры;Тип источника;Строка;
Контроль моделей;Параметры;Необходимость подготовки документов;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Класс модели;Справочник;"Розничные регуляторные модели
Розничные бизнес-модели
Розничные модели CRM
Розничные модели Collection
Корпоративные регуляторные модели 
Корпоративные бизнес-модели
Прочие корпоративные модели
Модели финансового моделирования
Модели цифровых помощников"
Общая информация;Арх. Компонент. Модельный сервис;Вид контроля;Справочник;"Качество модельных данных [КД]
Технический контроль [ТМ]
Оперативный контроль [ОК]
Аналитический контроль [АК]
Контроль модельных значений [КМЗ]
Оценка влияния моделей [ОВ]"
Общая информация;Арх. Компонент. Модельный сервис;Тип работ: Калибровка;Справочник;"Разработка
Внедрение
Доработка
Калибровка"
Общая информация;Арх. Компонент. Модельный сервис;ПВР/Регуляторный;Да/нет;
Детальная информация;Арх. Компонент. Модель;Роль модели;Справочник;"Обычная
Оркестратор"
Контроль моделей;Параметры;Новый вид контроля;Да/нет;
Контроль моделей;Параметры;Применение модельного сервиса в разных контурах (region и inno.local);Да/нет;
Контроль моделей;Параметры;Разнородность пользовательских сценариев  применения модельного сервиса;Справочник;"1. Нет
2. Единая структура логов
3. Разные структуры логов"
Контроль моделей;Параметры;Требуется проработка структуры логов;Да/нет;
Контроль моделей;Параметры;Требуется контроль для каждой модели сервиса в отдельности;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Первичное подключение ИС к РЕПО;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Хранение артефактов в РЕПО;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Перекладка артефактов между контурами посредством РЕПО;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Использование данных СХК через РЕПО;Да/нет;
Детальная Информация;Арх. Компонент. Модель;Необходимость AutoML;Да/нет;
Детальная Информация;Арх. Компонент. Модель;АвтоМЛ: встраивание внешнего кода;Да/нет;
Детальная Информация;Арх. Компонент. Модель;АвтоМЛ: требуется преобразование данных;Да/нет;
Детальная Информация;Арх. Компонент. Модель;АвтоМЛ: требуется постановка на регламент;Да/нет;
Детальная Информация;Арх. Компонент. Модель;АвтоМЛ: требуется новая библиотека;Да/нет;
Детальная Информация;Арх. Компонент. Объект данных;Реализуется в Хранилище признаков;Да/нет;
Детальная Информация;Арх. Компонент. Процесс обработки данных;Тип процесса обработки данных;Справочник;"Пакетный
Потоковый"
Детальная Информация;Арх. Компонент. Объект данных;Содержит сырые данные;Да/нет;
Детальная Информация;Арх. Компонент. Объект данных;Требуется парсинг сырых данных;Да/нет;
Детальная Информация;Арх. Компонент. Объект данных;Количество признаков;Число;
Детальная Информация;Арх. Компонент. Объект данных;Слой хранения;Справочник;"Холодный
Теплый
Горячий
Потоковый"
Детальная Информация;Арх. Компонент. Объект данных;Требуется контроль качества Признаков;Да/нет;
Детальная Информация;Арх. Компонент. Объект данных;Количество Контролей качества Признаков;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Требуется оркестратор;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Требуется разметка данных источника;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Требуется новая модель для автоматической разметки данных;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Сложность настройки шаблона разметки данных;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Требуется подготовка сырых данных для загрузки в ИС 1860;Да/нет;
