"№";"Наименование";"Категория";"Существующий/новый";"Тип контрола";"Источник";"Значения";"Атрибуты записи";"Комментарии"
"1";"Сложность постановки";"Методологический";"Существующий";"Single-select со связанным коэф.";"Калькулятор модельного стрима";"1 — Регулярная валидация Регулятором нормативно не установлена (×1.00)
2 — То же + Модель оценки риска (×1.25)
3 — То же + Заказчик запрашивает первичную валидацию (×1.50)
4 — Банком не планируется передача Регулятору, но валидация установлена (×1.75)
5 — Банком планируется передача Регулятору (×2.00)";"Код уровня,
Наименование,
Весовой коэффициент";""
"2";"Класс моделей";"Методологический (триггер расчёта)";"Новый";"Single-select";"Конфигуратор LT, Контроль моделей";"1 — Розничные регуляторные модели
2 — Розничные бизнес-модели
3 — Розничные модели CRM
4 — Розничные модели Collection
5 — Корпоративные регуляторные модели
6 — Корпоративные бизнес-модели
7 — Прочие корпоративные модели
8 — Модели финансового моделирования
9 — Модели цифровых помощников";"Код, наименование.";"Определяет виды контроля и нормативы — используется в нескольких системах. Изменение списка влечёт пересмотр матрицы нормативов (справочник №44)."
"3";"Вид контроля";"Методологический";"Новый";"Multi-select";"Конфигуратор LT, Контроль моделей";"КД — Качество модельных данных
ТМ — Технический контроль
ОК — Оперативный контроль
АК — Аналитический контроль
КМЗ — Контроль модельных значений
ОВ — Оценка влияния моделей";"Код
Наименование";"Перечень из 6 видов.
Используется как ось матрицы нормативов (справочник №44)."
"4";"Канал внедрения";"Методологический";"Существующий";"Multi-select со связанным коэф.";"Калькулятор модельного стрима";"Батч (×0.5)
Батч + загрузка данных потребителю (×0.75)
Батч + Онлайн (×1.2)
Онлайн (×1.0)
Онлайн gpu (×1.25)
Стриминг (×1.5)
Мобильные устройства (×1.75)
LLM (×2.0)
Гео-сервисы (×2.25)
Внедрение в облаке (×2.5)
Графовая платформа (×3.0)";"Код
Наименование
Весовой коэффициент";""
"5";"Тип источника данных";"Методологический";"Новый";"Single-select";"Источники Данных, калькулятор IN, калькулятор OUT";"Внутренний
Внешний";"Код
Наименование";""
"6";"Тип работ для компонента ""Модельный сервис""";"Методологический";"Новый";"Single-select";"Интерфейс системы";"Разработка
Калибровка
Создание новой версии
...
Проверить!";"";"Справочники №7, 8, 9, 10 содержат идентичные или очень близкие наборы значений (Разработка/Доработка/Настройка). Различается только область применения (компонент).
Стоит завести единый справочник «Тип работ» с атрибутом «Применимый компонент».

Нужно ли детализировать калибровку? Возникает ли новые работы при выборе вида калибровки?"
"7";"Тип работ для компонента ""Процесс обработки данных""";"Методологический";"Новый";"Single-select";"Интерфейс системы";"Разработка
Доработка
Настройка";"Код, наименование
коэф. сложности.
Применяется к";""
"8";"Тип работ для компонента ""Система-источник""";"Методологический";"Новый";"Single-select";"Интерфейс системы";"Добавить";"Код, наименование
коэф. сложности.
Применяется к";""
"9";"Тип работ для компонента ""Объект/Витрина данных""";"Методологический";"Новый";"Single-select";"Интерфейс системы";"Добавить";"Код, наименование
коэф. сложности.
Применяется к";""
"10";"Тип работ для компонента ""Модель""";"Методологический";"Новый";"Single-select";"Интерфейс системы";"Первичное обучение
Повторное обучение
Дообучение ?";"Код, наименование.
Применяется только к компоненту «Модель»";""
"11";"Тип алгоритма / тип ML-задачи";"Методологический";"Существующий";"Multi-select с коэф.";"Калькулятор модельного стрима";"Табличные данные (×0.75)
Текстовая аналитика — Классические модели (×1.25)
Текстовая аналитика — LLM (×1.4)
Аудио Аналитика (×1.6)
Компьютерное зрение CV (×1.8)
Оптимизационная задача (×2.5)
Гео-аналитика (×3.0)
Графовая аналитика (×3.5)";"Код
Наименование
Весовой коэффициент";""
"12";"Цель объекта данных";"Прикладной";"Валидировать";"Single-select";"Интерфейс системы";"Обучение
Применение";"Код
Наименование";"Если возникает типовая работа, то выделить как справочник"
"13";"Роль модели";"Методологический";"Новая";"Single-select";"Интерфейс системы";"Обычная
Оркестратор";"Код
Наименование";"Сейчас 2 значения, но в калькуляторе появляется понятие «Ансамбль» и «Каскад» — они связаны с ролью модели, но не отражены в этом справочнике.
Рассмотреть добавление: Каскад/Оркестратор / Участник ансамбля / Участник каскада / Одиночная"
"14";"Тип работ для нетиповой работы (ПроПро)";"Методологический";"Новая";"Single-select";"Конфигуратор Other, Контроль моделей";"Новая функциональность
Архитектурная задача
Линейная деятельность
Сопровождение
Технический долг";"Код
Наименование";""
"15";"Этапы жизненного цикла модели (E2E планирование)";"Методологический";"Существующий";"Системный";"Калькулятор модельного стрима";"01 — Постановка задачи
02 — Поиск данных
04 — Построение витрины для разработки
05A — Разработка пилотной модели MVP (
05 — Разработка модели 
AML разработка 
05B — Пилотирование модели
07 — Разработка витрины для применения модели 
09 — Адаптация и внедрение модели 
AML внедрение";"Код
Наименование
Базовая оценка (ч/д)";""
"16";"Поддерживающие стримы";"Организационный";"Новый";"Multi-select";"Интерфейс системы";"Платформы и решения для моделирования
Контроль моделей
Источники данных
Цифровые агенты
Потоковые данные";"ID стрима в Кросс, наименование, ответственный,";""
"17";"Поправочные (повышающие) коэффициенты
контроля моделей";"Методологический";"Новый";"Multi-select флажков";"Конфигуратор LT, Контроль моделей";"Рекалибровка модели (×0.25 на ОК/АК/КМЗ)
Использование в другом канале (×1 / ×0.75 / ×1)
Переработка существующей модели (×1 / ×0.75 / ×0.75)
Модель ПВР / Регуляторная (×1.5 / ×1.5 / ×1.5)
Новый тип модели (×2.0 / ×2.0 / ×2.0)
Применение в разных контурах region/inno.local (×1.1 / ×1.1 / 0)
Разные пользовательские сценарии (×1.05 или ×1.5)
Структура логов (×1.25 / ×1.25 / ×1.25)
Контроль работы сервиса вместо моделей (×1 / ×1 / 0)
Ансамбль или каскад моделей (×2.3 / ×2.3 / 0)";"Код
Наименование";"Сложный справочник: каждая запись содержит несколько коэффициентов (по ОК/АК/КМЗ)."
"18";"Группы рисков для расчёта неопределённости";"Методологический";"Существующий";"Список с независимой оценкой по каждой строке";"Калькулятор модельного стрима";"1. Изменение или сложность бизнес-процессов Банка
2. Дефекты во внедряемом решении или ПО
3. Недостаточная проработка требований
4. Недобросовестное исполнение услуг контрагентами
5. Отсутствие квалифицированного персонала или ошибки
6. Негативное влияние смежных проектов
7. Введение санкционных мер и ограничений
8. Недостаток или отсутствие контрольных процедур
9. Изменение регуляторных требований
10. Неиспользование ИС после завершения проекта
11. Изменения целевой ИТ-архитектуры Банка";"Код
Наименование

Для каждой строки задаётся пара (вероятность - пункт 20, влияние - пункт 21)";""
"19";"Шкала вероятности риска";"Методологический";"Существующий";"Single-select (на каждую строку пункта 16)";"Калькулятор модельного стрима";"Не применимо
Очень высокая — 1 раз за 6 мес. или чаще
Высокая — 1 раз в год
Средняя — 1 раз в 1–3 года
Низкая — 1 раз в 3–10 лет
Очень низкая — не чаще 1 раза в 10 лет";"Код
Наименование
Описание частоты";""
"20";"Шкала влияния риска";"Методологический";"Существующий";"Single-select (на каждую строку 16)";"Калькулятор модельного стрима";"Неприемлемая — >18 мес. / от 2 млрд / критичное отклонение
Высокая — 10–18 мес. / 870 млн – 2 млрд / значительный эффект
Существенная — 4–10 мес. / 438–870 млн / контролируемые отклонения
Средняя — 1–4 мес. / 45.3–438 млн / незначительное влияние
Низкая — <1 мес. / до 45.3 млн / влияние на вторичные функции";"Код
Наименование
Описания по трём измерениям: сроки, стоимость, цели.";""
"21";"Сроки инициативы";"Методологический (шкала)";"Существующий";"Single-select";"Калькулятор модельного стрима";"Менее 1 мес.
1–4 мес.
4–10 мес.
10–18 мес.
Более 18 мес.";"Код
Наименование (диапазон)

Должен быть согласован с пунктом 19";""
"22";"Стоимость инициативы";"Методологический (шкала)";"Существующий";"Single-select";"Калькулятор модельного стрима";"до 45.3 млн
45.3 — 438 млн
438 — 870 млн
870 млн — 2 млрд
От 2 млрд";"Код
Диапазон

Должен быть согласован с пунктом 19";""
"23";"Количество моделей (для каскадов и ансамблей)";"Методологический";"Существующий";"Single-select с коэф.";"Калькулятор модельного стрима";"1 (×1.0)
2 (×1.2)
3 (×1.4)
4 (×1.6)
5 (×1.8)
6 (×2.0)
7 (×2.2)
8 (×2.4)
9 (×2.6)
10+ (×3.0)";"Числовое значение
Весовой коэффициент";"Вычисляемое значение на основании заданного количества моделей

Контроль согласованности с числом выбранных алгоритмов (пункт 13)

Нужен ли отдельный справочник под коэффициенты для каскада?
Переделать в коэффициент от количества моделей"
"24";"Требуется проработка источников";"Методологический/Логический?";"Существующий";"Single-select с коэф.";"Калькулятор модельного стрима";"1 (×1.0)
2 (×1.2)
3 (×1.4)
4 (×1.6)
5 (×1.8)
6 (×2.0)
7 (×2.2)
8+ (×2.4)";"Числовое значение
Весовой коэффициент.

Заполняется при отсутствии готовых витрин";"Было: ""Количество источников для проработки""

Стало: Вычисляемое значение на основании источников для проработки с признаком ""требуется проработка"" - да/нет.

Обсудить перевод в новый вид"
"25";"Наличие готовых промышленных витрин";"Методологический";"Существующий";"Single-select с коэф.";"Калькулятор модельного стрима";"Да (×0.5)
Нет (×1.0)";"Логическое значение
весовой коэф.";"Вынести как признак при указании витрины
Проверить как участвует в текущей анкете, обсудить с методологами как можно перевести"
"26";"Необходимость продуктивизации и кол-во доп. витрин";"Методологический";"Существующий";"Single-select + число";"Калькулятор модельного стрима";"Не требуется
Да + количество дополнительных витрин";"Признак
число дополнительных витрин";"Количесиво доп витрин вынести как вычисляемый параметр

Как используется? Обсудить перевод на новый вид

Параметр модельного сервиса"
"27";"Сложность предметной области";"Методологический (с коэф.)";"Новый";"Single-select";"Источники Данных, калькулятор IN, калькулятор OUT";"Низкая (×0.75)
Средняя (×1.0)
Высокая (×1.5)
Неизвестно (×1.0..1.25) 
Масштабное (×1.75)";"Код
наименование, коэффициент";"Арх.компонент: Система-источник

Привести все сложности (аналогичные параметры) к одному"
