Стрим;Блок;Раздел;Название в смарт-анкете СУМ;Контекст;Результат выбора
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Первичное подключение ИС к РЕПО;РЕПО;"Включение работы ""Первичное подключение ИС к Репозиторию моделей"""
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Хранение артефактов в РЕПО;РЕПО;"Включение работы ""Организация хранения артефактов модели в Репозитории моделей"""
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Перекладка артефактов между контурами посредством РЕПО;РЕПО;"Включение работы ""Обеспечение переноса артефактов модели между контурами посредством Репозитория моделей"""
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Использование данных СХК через РЕПО;РЕПО;"Включение работы ""Предоставление данных из СХК через РЕПО"""
ПиРМ;Детальная информация;Арх. Компонент. Модель;Необходимость AutoML;AutoML;Включение работ по системе AutoML
ПиРМ;Детальная информация;Арх. Компонент. Модель;AutoML: встраивание внешнего кода;AutoML;"Включение работы ""Встраивание и отладка внешнего кода в конвейер AutoML по обучению модели"""
ПиРМ;Детальная информация;Арх. Компонент. Модель;AutoML: требуется преобразование данных;AutoML;"Включение работы ""Реализация преобразований данных в конвейере AutoML по обучению модели"""
ПиРМ;Детальная информация;Арх. Компонент. Модель;AutoML: требуется постановка на регламент;AutoML;"Включение работы ""Постановка модели на регламентное переобучение"""
ПиРМ;Детальная информация;Арх. Компонент. Модель;AutoML: требуется новая библиотека;AutoML;"Включение работы ""Добавление новой ML-библиотеки и/или фреймворка"""
ПиРМ;Детальная информация;Арх. Компонент. Модель;Роль модели;СУМ;"Применяет коэффициент к трудозатратам по работе ""Регистрация / обновление версии модели в СУМ""
Роли моделей: 1) Обычная (1), 2) Оркестратор (1,75)"
ПиРМ;Детальная информация;Арх. Компонент. Объект данных;Реализуется в Хранилище признаков;3813 Feature Store;Включение работ по системе 3813 Feature Store
ПиРМ;Детальная информация;Арх. Компонент. Объект данных;Хранилище признаков: подключение нового источника данных;3813 Feature Store;"Включение работы ""Подключение источника данных"""
ПиРМ;Детальная информация;Арх. Компонент. Процесс обработки данных;Тип процесса обработки данных;3813 Feature Store;"Применяет коэффициент к трудозатратам по работе ""Подключение источника данных""
Тип процесса обработки данных: 1) Пакетный (1), 2) Потоковый (1,25)"
ПиРМ;Детальная информация;Арх. Компонент. Объект данных;Требуется сохранять сырые данные в Хранилище признаков;3813 Feature Store;"Включение работ ""Сохранение объекта сырых данных в Хранилище признаков"""
ПиРМ;Детальная информация;Арх. Компонент. Объект данных;Требуется парсинг сырых данных в Хранилище признаков;3813 Feature Store;"Применяет коэффициент к трудозатратам по работе ""Сохранение объекта сырых данных в Хранилище признаков"":
1) Нет: 1, 2) Да: 3."
ПиРМ;Детальная информация;Арх. Компонент. Объект данных;Количество признаков в Наборе признаков;3813 Feature Store;"Применяет коэффициент к трудозатратам по работе ""Разработка Набора признаков"": Введенное количество признаков умножается на коэффициент
1) 1..20 - 1, 2) 21..50 - 0,7, 3) 51..100 - 0,5, 4) >100 - 0,4

Применяет коэффициент к трудозатратам по работе ""Регистрация Признака в Хранилище признаков"": Введенное количество признаков умножается на коэффициент
1) 1..20 - 1, 2) 21..50 - 0,7, 3) 51..100 - 0,5, 4) >100 - 0,4"
ПиРМ;Детальная информация;Арх. Компонент. Объект данных;Сложность реализации Набора признаков;3813 Feature Store;"Применяет коэффициент к трудозатратам по работе ""Разработка Набора признаков""
Сложность реализации Набора признаков: 1) Не известно: 1.15, 2) Высокая: 1.25, 3) Средняя: 1, 4) Низкая: 0.75"
ПиРМ;Детальная информация;Арх. Компонент. Объект данных;Требуется контроль качества Признаков;3813 Feature Store;"Включение работ ""Создание контроля качества Признаков в Хранилище признаков"""
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Тип работ;1655;Включение работ по системе 1655
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Требуется оркестратор ПИМ;1655_1;Включение работы «Кастомизация конфигурации оркестратора»
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Требуется логирование ПИМ;1655_1;Включение работы «Настройка kafka и тракта логирования для нового потребителя»
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: требуется разметка данных источника;1860 Маркер;Включение работ по ИС 1860 Маркер
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: требуется новая модель для автоматической разметки данных;1860 Маркер;"Включение работ ""Добавление новой модели для автоматической разметки данных в ИС 1860, настройка Active Learning"""
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: сложность настройки шаблона разметки данных и подготовки сырых данных для загрузки;1860 Маркер;"Применяет коэффициент к трудозатратам по работе ""Настройка проекта и типового шаблона разметки""
Сложность настройки шаблона разметки данных и подготовки сырых данных для загрузки в Маркер: 1 (норма), 1.5 (средняя сложность), 2(высокая сложность)"
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: размер новой модели, доп. библиотеки, сложность подключения, конфигурации, тестирования и отладки модели (вкл. Active Learning и сетевые доступы);1860 Маркер;"Применяет коэффициент к трудозатратам по работе ""Добавление новой модели для автоматической разметки данных в ИС 1860, настройка Active Learning ""
Размер новой модели, дополнительные библиотеки загружаемой в банк модели, сложность подключения, конфигурации, тестирования и отладки модели, вкл. Active Learning и сетевые доступы: 1 (норма), 1.5 (средняя сложность), 2(высокая сложность)"
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: требуется регламентный импорт/экспорт данных или отчетности;1860 Маркер;"Включение работ ""Реализация регламентной загрузки данных в ИС 1860 и/или экспорта размеченных данных в ИС-потребитель"""
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: сложность реализации интеграции, правил обработки данных (в т.ч. конфиденциальных) и настройки режима обмена данными;1860 Маркер;"Применяет коэффициент к трудозатратам по работе ""Реализация регламентной загрузки данных в ИС 1860 и/или экспорта размеченных данных в ИС-потребитель""
Сложность реализации интеграции, правил обработки данных в Маркере в т.ч. конфиденциальных (хэширование, хранение и т.п.) и настройки режима обмена данными: 1 (норма), 1.25 (средняя сложность), 1.5 (высокая сложность)"
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: требуются специальные условия хранения и обработки конфиденциальных данных, не поддерживаемые коммунальным сервисом;1860 Маркер;"Включение работ ""Развертывание отдельного экземпляра ИС 1860 под конфиденциальные данные"""
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: правила обработки данных (в т.ч. конфиденциальных), режим обмена данными, сложность развёртывания отдельного инстанса и наличие доп. доработок;1860 Маркер;"Применяет коэффициент к трудозатратам по работе ""Развертывание отдельного экземпляра ИС 1860 под конфиденциальные данные""
Правила обработки данных, в т.ч. конфиденциальных (хэширование, хранение и т.п.), режим обмена данными,сложность развертывания отдельного инстанса Маркера и наличие доп. доработок
Коэффициенты: 1 (норма), 1.5 (средняя сложность), 1.75 (высокая сложность)"
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: требуется ручная обработка результатов автоматизированной разметки данных;1860_2 Голос клиента;"Включение работ ""Ручная обработка результатов автоматизированной разметки обращений клиентов в случае низкой степени уверенности модели"""
ПиРМ;Детальная информация;Арх. Компонент. Система-источник;Маркер: сложность развёртывания отдельного инстанса ручной разметки голосов и наличие доп. доработок;1860_2 Голос клиента;"Применяет коэффициент к трудозатратам по работе ""Ручная обработка результатов автоматизированной разметки обращений клиентов в случае низкой степени уверенности модели""
Сложность развертывания отдельного инстанса Ручной разметки голосов и наличие доп. доработок: 1 (без доработок), 1.25 (незначительные доработки), 1.5 (значительные доработки)"
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Требуется визуализация результатов работы модельного сервиса в SuperSet;1648_7 Apache Superset;"Включение работ ""Визуализация результатов работы модельного сервиса"""
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;SuperSet: сложность развёртывания отдельного инстанса, наличие доп. доработок, способ загрузки данных (вручную / по интеграции);1648_7 Apache Superset;"Применяет коэффициент к трудозатратам по работе ""Визуализация результатов работы модельного сервиса""
Сложность развертывания отдельного инстанса Суперсета, наличие доп. доработок, применение Clickhouse вместо PostgreSQL, способ загрузки данных (вручную/по интеграциии): 0,65 (без интеграций, без Clickhouse ), 1 (с интеграцией и Clickhouse), 1.2(с интеграцией, Clickhouse и доработкой)"
ПиРМ;Детальная информация;Арх. Компонент. Модель;Требуется новая библиотека / базовая модель;1648 Юпитер;"Включение работы ""Загрузка моделей или библиотек в контур банка"""
ПиРМ;Общая информация;Арх. Компонент. Модельный сервис;Требуется расширение инфраструктуры кластера SSDP;ИС 1648 SSDP;"Включение работы ""Добавление оборудования в кластер SSDP"""
;;;;;
;;;;;
