Стрим;Арх. Компонент;Название оригинальное;Название в смарт-анкете СУМ;Контекст;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоемкости;Формула;Результат выбора;Кто может заполнить;Вопросы;Справочник;Комментарии по итогу встречи 08.06
ИД. Внешний;Арх. Компонент. Система-источник;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 214. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 214;Опциональная;0,7;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
  — Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
  — Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;"Указывать ли инциировано пред этапом в параметрах трудоемкости?

Какие виды работ возможны (разработка с нуля, доработка, и так далее)? Будет ли различатся трудоемкость для разных видов работ?";;"Решение по всей детализации работ ИД.Внешний (строки 35–107): оставить как есть, но в наименование каждой работы добавить префикс с этапом и/или арх. компонентом (например, ""[214]"" или ""[Витрина]/[Интеграция]"").
Также по параметру ""Инициировано предыдущим этапом"" — не указывать на уровне работ, разобраться централизованно (см. лист СА Параметры строку 13)."
ИД. Внешний;Арх. Компонент. Система-источник;Планирование и работа с бэклогом;Этап 214. Планирование и работа с бэклогом;Этап 214;Опциональная;1;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик
6. NDA
7. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик] × [NDA] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
  — Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
  — Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1
  — NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 1 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик] × [NDA] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0 (работы NDA исключаются); Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;"Некоторые названия работ дублируются на разных этапах. Как их отражать в СА: отдельными строками (с различающимися названиями), одной строкой с суммарными трудозатратами?
Необходимость такой детализации? Возможно ли ограничиться этапами?";Детализация не требуется в СА;Решение: при наименовании работ, дублирующихся на разных этапах, добавлять префикс этапа/арх. компонента. Унифицированное наименование с применением к разным сущностям предпочтительнее.
ИД. Внешний;Арх. Компонент. Система-источник;Сбор и анализ требований;Этап 214. Сбор и анализ требований;Этап 214;Опциональная;0,9;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик
6. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
  — Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
  — Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 0,9 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Поиск и анализ источника(ов) и данных;Этап 214. Поиск и анализ источника(ов) и данных;Этап 214;Опциональная;2,7;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик
6. NDA
7. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик] × [NDA] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
  — Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
  — Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1
  — NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 2,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик] × [NDA] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик: Да→0.75; Нет→1.25; Неизвестно→1
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0 (работы NDA исключаются); Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Подготовка АЗ для заключения NDA, согласование содержания NDA;Этап 214. Подготовка АЗ для заключения NDA, согласование содержания NDA;Этап 214;Опциональная;0,6;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. NDA
4. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [NDA] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 0,6 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [NDA] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0 (работы NDA исключаются); Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Получение визы от ИБ и ЮБ по возможности обмена конфиденциальными данными;Этап 214. Получение визы от ИБ и ЮБ по возможности обмена конфиденциальными данными;Этап 214;Опциональная;0,7;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Подготовка Отчета о проведенном Исследовании и согласование результата;Этап 214. Подготовка Отчета о проведенном Исследовании и согласование результата;Этап 214;Опциональная;0,8;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 0,8 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Доработка внутренней документации и информационных ресурсов группы;Этап 214. Доработка внутренней документации и информационных ресурсов группы;Этап 214;Опциональная;1;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Количество сущностей (исходных таблиц)
2. NDA";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Количество сущностей (исходных таблиц)] × [NDA]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
  — NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции.
2) Норматив: 1 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Количество сущностей (исходных таблиц)] × [NDA]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25)→1.75; Неизвестно→1.25
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0 (работы NDA исключаются); Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 215. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 215;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Требуется хэширование/ шифрование
3. Режим обмена данными";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Требуется хэширование/ шифрование] × [Режим обмена данными]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
  — Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
  — Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Пилот (первичный, повторный).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Требуется хэширование/ шифрование] × [Режим обмена данными]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;Учтонить про условие срабатывания по полю - Новый пилот или повторный;"6. Пилот / разовая загрузка предусматривает двусторонний обмен данными:
  Неизвестно / Да / Нет";"Решение: условие срабатывания — отдельный параметр ""Пилот по данным"" со значениями Нет/Первичный/Повторный (см. СА Параметры строку 26)."
