Стрим;Арх. Компонент;Название в смарт-анкете СУМ;Тип работы;Норматив (база);Параметр-триггер;Параметры трудоёмкости;Коэффициенты параметров трудоёмкости;Формула;Результат выбора;;;;;
Контроль моделей;Модельный сервис;Реализация проверок качества модельных данных ;Типовая работа;10;"Создание модельного сервиса
Вид контроля =  КД";"Класс модели
Количество моделей";"Класс модели:
1 - Розничные регуляторные модели → 1,25;
2 - Розничные бизнес-модели → 1,3; 
3 - Розничные модели CRM → 1,25; 
4 - Розничные модели Collection → 1,3; 
5 - Корпоративные регуляторные модели → 1,25;
6 - Корпоративные бизнес-модели → 1,25;
7 - Прочие корпоративные модели → 1,25;
8 - Модели фин. моделирования → 1,25;
9 - Модели цифровых помощников → 1,25";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Кол-во моделей) × К (Класс модели) × 1,25); 2)";Выбор триггера (иначе Итог = 0);;;;;
Контроль моделей;Модельный сервис;Реализация технического контроля;Типовая работа;1;"Создание модельного сервиса
Вид контроля =  ТМ";"Класс модели
Количество моделей";"Класс модели:
1 - Розничные регуляторные модели → 3,75;
2 - Розничные бизнес-модели → 2,6; 
3 - Розничные модели CRM → 1,25; 
4 - Розничные модели Collection → 2,6; 
5 - Корпоративные регуляторные модели → 3,75;
6 - Корпоративные бизнес-модели → 2,5;
7 - Прочие корпоративные модели → 2,5;
8 - Модели фин. моделирования → 6,25;
9 - Модели цифровых помощников → 0

Количество моделей:
1→1
2→1
Далее везде 1";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Кол-во моделей) × К (Класс модели) * 1,3); 2)";Выбор триггера (иначе Итог = 0);;;;;
Контроль моделей;Модельный сервис;Реализация оперативного контроля;Типовая работа;7;"Создание модельного сервиса
Вид контроля =  ОК";"Класс модели
Количество моделей
Тип работ (модельного сервиса)
Регуляторные требования
Роль модели
Новый вид контроля Применение модельного сервиса в разных контурах (region и inno.local
Разнородность пользовательских сценариев применения модельного сервиса
Требуется проработка структуры логов
Требуется контроль для каждой модели сервиса в отдельности";"Класс модели:
1 - Розничные регуляторные модели → 1,25;
2 - Розничные бизнес-модели → 1,3; 
3 - Розничные модели CRM → 1,25; 
4 - Розничные модели Collection → 1,3; 
5 - Корпоративные регуляторные модели → 1,25;
6 - Корпоративные бизнес-модели → 1,25;
7 - Прочие корпоративные модели → 1,25;
8 - Модели фин. моделирования → 1,25;
9 - Модели цифровых помощников → 0

Количество моделей:
1→1
2→1
Далее везде 1

Тип работ (модельного сервиса):
Калибровка → 0, 25
Доработка → 1
Внедрение → 1

Регуляторные требования:
4 → 1,5
5 → 1,5

Роль модели:
Оркестратор → 2,3

Новый вид контроля:
Да → 2

Применение модельного сервиса в разных контурах (region и inno.local):
Да → 1

Разнородность пользовательских сценариев применения модельного сервиса:
Нет
Единая структура логов → 1,05
Разные структуры логов → 1,5

Требуется проработка структуры логов
Да → 1,25

Требуется контроль для каждой модели сервиса в отдельности
Да → 1";"Итог = ОКРУГЛ.ВВЕРХ (база × К(Кол-во моделей) × К (Класс модели) × (К(Тип работ)+ К(Регуляторные требования) +К (Роль модели) + К (Новый вид контроля) + К (Применение модельного сервиса в разных контурах (region и inno.local)) + К(Разнородность пользовательских сценариев применения модельного сервиса) + К (Требуется проработка структуры логов) + К (Требуется контроль для каждой модели сервиса в отдельности)); 2)";Выбор триггера (иначе Итог = 0);;;;;
Контроль моделей;Модельный сервис;Реализация аналитического контроля;Типовая работа;20;"Создание модельного сервиса
Вид контроля =  АК";"Класс модели
Количество моделей
Тип работ (модельного сервиса)
Регуляторные требования
Роль модели
Новый вид контроля Применение модельного сервиса в разных контурах (region и inno.local
Разнородность пользовательских сценариев применения модельного сервиса
Требуется проработка структуры логов
Требуется контроль для каждой модели сервиса в отдельности";"Класс модели:
1 - Розничные регуляторные модели → 2,5;
2 - Розничные бизнес-модели → 2,34; 
3 - Розничные модели CRM → 1,25; 
4 - Розничные модели Collection → 2,34; 
5 - Корпоративные регуляторные модели → 2,5;
6 - Корпоративные бизнес-модели → 2,5;
7 - Прочие корпоративные модели → 2,5;
8 - Модели фин. моделирования → 3,38;
9 - Модели цифровых помощников → 3,44

Количество моделей:
1→1
2→1
Далее везде 1

Тип работ (модельного сервиса):
Калибровка → 0, 25
Доработка → 0,75
Внедрение → 0,75

Регуляторные требования:
4 → 1,5
5 → 1,5

Роль модели:
Оркестратор → 2,3

Новый вид контроля:
Да → 2

Применение модельного сервиса в разных контурах (region и inno.local):
Да → 1

Разнородность пользовательских сценариев применения модельного сервиса:
Нет
Единая структура логов → 1,05
Разные структуры логов → 1,5

Требуется проработка структуры логов
Да → 1,25

Требуется контроль для каждой модели сервиса в отдельности
Да → 1";"Итог = ОКРУГЛ.ВВЕРХ (база × К(Кол-во моделей) × К (Класс модели) × (К(Тип работ)+ К(Регуляторные требования) +К (Роль модели) + К (Новый вид контроля) + К (Применение модельного сервиса в разных контурах (region и inno.local)) + К(Разнородность пользовательских сценариев применения модельного сервиса) + К (Требуется проработка структуры логов) + К (Требуется контроль для каждой модели сервиса в отдельности)); 2)";Выбор триггера (иначе Итог = 0);;;;;
Контроль моделей;Модельный сервис;Реализация контроля модельных значений;Типовая работа;20;"Создание модельного сервиса
Вид контроля = КМЗ";"Класс модели
Количество моделей
Тип работ (модельного сервиса)
Регуляторные требования
Роль модели
Новый вид контроля Применение модельного сервиса в разных контурах (region и inno.local
Разнородность пользовательских сценариев применения модельного сервиса
Требуется проработка структуры логов
Требуется контроль для каждой модели сервиса в отдельности";"Класс модели:
1 - Розничные регуляторные модели → 2,81;
2 - Розничные бизнес-модели → 1,3; 
3 - Розничные модели CRM → 1,25; 
4 - Розничные модели Collection → 1,3; 
5 - Корпоративные регуляторные модели → 2,81;
6 - Корпоративные бизнес-модели → 1,25;
7 - Прочие корпоративные модели → 1,25;
8 - Модели фин. моделирования → 1,25;
9 - Модели цифровых помощников → 0

Количество моделей:
1→1
2→1
Далее везде 1

Тип работ (модельного сервиса):
Калибровка → 0, 25
Доработка → 1
Внедрение → 0,75

Регуляторные требования:
4 → 1,5
5 → 1,5

Роль модели:
Оркестратор → 0

Новый вид контроля:
Да → 2

Применение модельного сервиса в разных контурах (region и inno.local):
Да → 0

Разнородность пользовательских сценариев применения модельного сервиса:
Нет
Единая структура логов → 0
Разные структуры логов → 0

Требуется проработка структуры логов
Да → 1,25

Требуется контроль для каждой модели сервиса в отдельности
Да → 0";"Итог = ОКРУГЛ.ВВЕРХ (база × К(Кол-во моделей) × К (Класс модели) × (К(Тип работ)+ К(Регуляторные требования) +К (Роль модели) + К (Новый вид контроля) + К (Применение модельного сервиса в разных контурах (region и inno.local)) + К(Разнородность пользовательских сценариев применения модельного сервиса) + К (Требуется проработка структуры логов) + К (Требуется контроль для каждой модели сервиса в отдельности)); 2)";Выбор триггера (иначе Итог = 0);;;;;
Контроль моделей;Модельный сервис;Оценка влияния моделей;Типовая работа;20;"Создание модельного сервиса
Вид контроля =  ОВ";"Класс модели
Количество моделей";"Класс модели:
1 - Розничные регуляторные модели → 2,81;
2 - Розничные бизнес-модели → 1,3; 
3 - Розничные модели CRM → 1,25; 
4 - Розничные модели Collection → 1,3; 
5 - Корпоративные регуляторные модели → 2,81;
6 - Корпоративные бизнес-модели → 1,25;
7 - Прочие корпоративные модели → 1,25;
8 - Модели фин. моделирования → 1,25;
9 - Модели цифровых помощников → 0

Количество моделей:
1→1
2→1
Далее везде 1";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Кол-во моделей) × К (Класс модели) * 1,25); 2)";Выбор триггера (иначе Итог = 0);;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
