Стрим;Арх. Компонент, на базе которого происходит суммирование нескольких экземпляров;Название в смарт-анкете СУМ;Наличие норматива;Параметр-триггер;Параметры трудоемкости;Коэффициенты параметров трудоёмкости;Формула;Результат выбора
ПиРМ;Арх. Компонент. Модельный сервис;Регистрация / обновление сервиса в СУМ, обеспечение продвижения по ЖЦМ, обеспечение хранения артефактов модели;10;Создание архитектурного компонента «Модельный сервис»;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 10 чел-дн.
ПиРМ;Арх. Компонент. Модельный сервис;Регистрация / обновление модели в СУРМ, обеспечение присутствия модели на дашборде;10;Создание архитектурного компонента «Модельный сервис»;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 10 чел-дн.
ПиРМ;Арх. Компонент. Модель;Регистрация / обновление версии модели в СУМ;5;Создание архитектурного компонента «Модель»;Роль модели;"Роль модели: Обычная → 1; Оркестратор → 1,75. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Роль модели) ; 2 ).";Выбор триггера (иначе Итог = 0). Норматив: 5 чел-дн. Сумма значений, рассчитанных по формуле для каждой модели.
ПиРМ;Арх. Компонент. Модельный сервис;Сбор и предоставление данных об аллокации модельного сервиса;10;Создание архитектурного компонента «Модельный сервис»;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 10 чел-дн.
ПиРМ;Арх. Компонент. Модельный сервис;Создание и актуализация графа преобразования данных, используемых модельным сервисом;10;Создание архитектурного компонента «Модельный сервис»;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 10 чел-дн.
ПиРМ;Арх. Компонент. Модельный сервис;Первичное подключение ИС к Репозиторию моделей;22;Первичное подключение ИС к РЕПО;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 22 чел-дн.
ПиРМ;Арх. Компонент. Модельный сервис;Организация хранения артефактов модели в Репозитории моделей;10;Хранение артефактов в РЕПО;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 10 чел-дн.
ПиРМ;Арх. Компонент. Модельный сервис;Обеспечение переноса артефактов модели между контурами посредством Репозитория моделей;10;Перекладка артефактов между контурами посредством РЕПО;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 10 чел-дн.
ПиРМ;Арх. Компонент. Модельный сервис;Предоставление данных из СХК через РЕПО;12;Использование данных СХК через РЕПО;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 12 чел-дн.
ПиРМ;Арх. Компонент. Модель;Выделение ресурсного пула под обучение и применение модели;3;Необходимость AutoML;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 3 чел-дн.
ПиРМ;Арх. Компонент. Модель;Подключение источника данных для обучения модели;3;Необходимость AutoML;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 3 чел-дн.
ПиРМ;Арх. Компонент. Модель;Встраивание и отладка внешнего кода в конвейер AutoML по обучению модели;3;"Необходимость AutoML
И
AutoML: встраивание внешнего кода";—;—;Итог = база;Выбор триггеров (иначе Итог = 0). Норматив: 3 чел-дн.
ПиРМ;Арх. Компонент. Модель;Реализация преобразований данных в конвейере AutoML по обучению модели;2;"Необходимость AutoML
И
AutoML: требуется преобразование данных";—;—;Итог = база;Выбор триггеров (иначе Итог = 0). Норматив: 2 чел-дн.
ПиРМ;Арх. Компонент. Модель;Постановка модели на регламентное переобучение;2;"Необходимость AutoML
И
AutoML: требуется постановка на регламент";—;—;Итог = база;Выбор триггеров (иначе Итог = 0). Норматив: 2 чел-дн.
ПиРМ;Арх. Компонент. Модель;Добавление новой ML-библиотеки и/или фреймворка;4;"Необходимость AutoML
И
AutoML: требуется новая библиотека";—;—;Итог = база;Выбор триггеров (иначе Итог = 0). Норматив: 4 чел-дн.
ПиРМ;Арх. Компонент. Модельный сервис;Airflow: обеспечение работоспособности и реконфигурация инфраструктуры для настройки DAG;7;Создание архитектурного компонента «Модельный сервис»;—;—;Итог = база;Выбор триггера (иначе Итог = 0). Норматив: 7 чел-дн.
ПиРМ;Арх. Компонент. Объект данных;Подключение источника данных;20;"Реализуется в Хранилище признаков
Хранилище признаков: подключение нового источника данных";Тип процесса обработки данных;"Тип процесса обработки данных: Пакетный → 1; Потоковый → 1,25. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Тип процесса) ; 2 ).";Выбор триггера (иначе Итог = 0). Норматив: 20 чел-дн. Рассчитывается для каждого Процесса обработки данных.
ПиРМ;Арх. Компонент. Объект данных;Сохранение объекта сырых данных в Хранилище признаков;3;"Реализуется в Хранилище признаков
И
Требуется сохранять сырые данные в Хранилище признаков";Требуется парсинг сырых данных в Хранилище признаков;"Требуется парсинг сырых данных: Нет → 1; Да → 3. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Парсинг сырых данных) ; 2 ).";Выбор триггеров (иначе Итог = 0). Норматив: 3 чел-дн. Рассчитывается для каждого Объекта данных.
ПиРМ;Арх. Компонент. Объект данных;Разработка Набора признаков;0,5;Реализуется в Хранилище признаков;"Количество признаков в Наборе признаков;
Сложность реализации Набора признаков";"Количество признаков (введённое кол-во умножается на коэффициент диапазона): 1–20 → 1; 21–50 → 0,7; 51–100 → 0,5; >100 → 0,4.
Сложность реализации Набора признаков: Не известно → 1,15; Высокая → 1,25; Средняя → 1; Низкая → 0,75. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × Кол-во признаков × К(диапазон) × К(Сложность) ; 2 ).";Выбор триггера (иначе Итог = 0). Норматив: 0,5 чел-дн на признак. Сумма значений для каждого Набора признаков.
ПиРМ;Арх. Компонент. Объект данных;Регистрация Признака в Хранилище признаков;0,1;Реализуется в Хранилище признаков;Количество признаков в Наборе признаков;"Количество признаков (введённое кол-во умножается на коэффициент диапазона): 1–20 → 1; 21–50 → 0,7; 51–100 → 0,5; >100 → 0,4.";"Итог = ОКРУГЛ.ВВЕРХ( база × Кол-во признаков × К(диапазон) ; 2 ).";Выбор триггера (иначе Итог = 0). Норматив: 0,1 чел-дн на признак.
ПиРМ;Арх. Компонент. Объект данных;Создание контроля качества Признаков в Хранилище признаков;10;"Реализуется в Хранилище признаков
И
Требуется контроль качества Признаков";—;—;Итог = база;Выбор триггеров (иначе Итог = 0). Норматив: 10 чел-дн. Суммируется по Объектам данных с требованием контроля качества.
ПиРМ;Арх. Компонент. Система-источник;Настройка проекта и типового шаблона разметки;11;Маркер: требуется разметка данных источника;Маркер: сложность настройки шаблона разметки данных и подготовки сырых данных для загрузки;"Сложность настройки шаблона разметки: норма → 1; средняя → 1,5; высокая → 2. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Сложность настройки шаблона) ; 2 ).";Выбор триггера (иначе Итог = 0). Норматив: 11 чел-дн.
ПиРМ;Арх. Компонент. Система-источник;Добавление новой модели для автоматической разметки данных в ИС 1860, настройка Active Learning;130;"Маркер: требуется разметка данных источника
И
Маркер: требуется новая модель для автоматической разметки данных";Маркер: размер новой модели, доп. библиотеки, сложность подключения, конфигурации, тестирования и отладки модели (вкл. Active Learning и сетевые доступы);"Размер / сложность новой модели: норма → 1; средняя → 1,5; высокая → 2. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Размер / сложность модели) ; 2 ).";Выбор триггеров (иначе Итог = 0). Норматив: 130 чел-дн.
ПиРМ;Арх. Компонент. Система-источник;Реализация регламентной загрузки данных в ИС 1860 и/или экспорта размеченных данных в ИС-потребитель;91;"Маркер: требуется разметка данных источника
И
Маркер: требуется регламентный импорт/экспорт данных или отчетности";Маркер: сложность реализации интеграции, правил обработки данных (в т.ч. конфиденциальных) и настройки режима обмена данными;"Сложность реализации интеграции: норма → 1; средняя → 1,25; высокая → 1,5. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Сложность интеграции) ; 2 ).";Выбор триггеров (иначе Итог = 0). Норматив: 91 чел-дн.
ПиРМ;Арх. Компонент. Система-источник;Развертывание отдельного экземпляра ИС 1860 под конфиденциальные данные;251;Маркер: требуются специальные условия хранения и обработки конфиденциальных данных, не поддерживаемые коммунальным сервисом;Маркер: правила обработки данных (в т.ч. конфиденциальных), режим обмена данными, сложность развёртывания отдельного инстанса и наличие доп. доработок;"Правила обработки данных / сложность развёртывания инстанса: норма → 1; средняя → 1,5; высокая → 1,75. По умолчанию 1.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Правила / сложность развёртывания) ; 2 ).";Выбор триггера (иначе Итог = 0). Норматив: 251 чел-дн.
