"Роль/Полномочия";"view_list";"view_card";"create";"edit";"delete";"export";"approve";"hold";"admin";"audit";"Примечание";"";"AD группа";"Логин/Пароль"
"DS";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией";"Анкеты других стримов:
Недоступны";"";""
"DS Lead";"✅";"✅";"✅";"✅";"✅";"✅";"✅";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией
  • Создание анкеты стрима
  • Редактирование всех блоков и параметров анкеты своего стрима
  • Завершение заполнения— по блоку своего стрима.
  • Удаление";"Анкеты других стримов:
  • Просмотра списка
  • Просмотр карточки анкеты - общая информация, детальная информация (арх.компоненты, параметры), блоки сторимов. Не видит: оценки типовых и нетиповых работ других стримов.
  • Редактирование - общая информация, детальная информация, блок своего стрима. 
  • Завершение заполнения — по блоку своего стрима.
  • Удаление - недоступно.";"";""
"DE";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией";"Анкеты других стримов:
Недоступны";"";""
"DE Lead";"✅";"✅";"❌";"✅";"❌";"✅";"✅";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией
  • Редактирование всех блоков и параметров анкеты своего стрима
  • Завершение заполнения— по блоку своего стрима.";"Анкеты других стримов:
  • Просмотра списка
  • Просмотр карточки анкеты - общая информация, детальная информация (арх.компоненты, параметры), блоки сторимов. Не видит: оценки типовых и нетиповых работ других стримов.
  • Редактирование - общая информация, детальная информация, блок своего стрима. 
  • Завершение заполнения — по блоку своего стрима.";"";""
"ModelOps";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией";"Анкеты других стримов:
Недоступны";"";""
"ModelOps Lead";"✅";"✅";"✅";"✅";"✅";"✅";"✅";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией
  • Создание анкеты стрима
  • Редактирование всех блоков и параметров анкеты своего стрима
  • Завершение заполнения— по блоку своего стрима.
  • Удаление";"Анкеты других стримов:
  • Просмотра списка
  • Просмотр карточки анкеты - общая информация, детальная информация (арх.компоненты, параметры), блоки сторимов. Не видит: оценки типовых и нетиповых работ других стримов.
  • Редактирование - общая информация, детальная информация, блок своего стрима. 
  • Завершение заполнения — по блоку своего стрима.";"";""
"Бизнес-заказчик";"❌";"❌";"❌";"❌";"❌";"❌";"❌";"❌";"❌";"❌";"Доступ пока не предоставляется.";"";"";""
"Бизнес-партнёр";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"По всем стримам:
  • Просмотр списка всех анкет
  • Просмотр карточки анкеты с полной детализацией.";"";"";""
"Бизнес-партнёр стрима";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией";"Анкеты других стримов:
Недоступны";"";""
"Validator";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"По всем стримам:
  • Просмотр списка всех анкет
  • Просмотр карточки анкеты с полной детализацией.
  • Экспорт анкет на уровне списка.";"";"";""
"Validator Lead";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"";"";"";""
"Архитектор данных ML";"✅";"✅";"❌";"✅";"❌";"✅";"✅";"❌";"❌";"❌";"По всем стримам:
  • Просмотр списка всех анкет
  • Просмотр карточки анкеты с полной детализацией.
  • Редактирование всех блоков всех анкет
  • Завершение заполнения по всем блокам всех стримов";"";"";""
"Аналитик качества (ДАДМ)";"✅";"✅";"❌";"✅";"❌";"✅";"✅";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией
  • Редактирование всех блоков и параметров анкеты своего стрима
  • Завершение заполнения— по блоку своего стрима.";"Анкеты других стримов:
  • Просмотра списка
  • Просмотр карточки анкеты - общая информация, детальная информация (арх.компоненты, параметры), блоки сторимов. Не видит: оценки типовых и нетиповых работ других стримов.
  • Редактирование - общая информация, детальная информация, блок своего стрима. 
  • Завершение заполнения — по блоку своего стрима.";"";""
"Аналитик качества данных";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"❌";"Анкеты своего стрима:
  • Просмотр списка
  • Просмотр карточки анкеты с полной детализацией";"Анкеты других стримов:
Недоступны";"";""
"Прикладной администратор";"✅";"✅";"❌";"❌";"❌";"❌";"❌";"❌";"✅";"✅";"По всем стримам:
  • Просмотр списка всех анкет
  • Просмотр карточки анкеты с полной детализацией.
  • Администрирование
  • Чтение журналов аудита";"";"";""
"Аудитор ИБ";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"✅";"По всем стримам:
  • Просмотр списка всех анкет
  • Просмотр карточки анкеты с полной детализацией.
  • Чтение журналов аудита";"";"";""
"Аудитор";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"❌";"❌";"✅";"По всем стримам:
  • Просмотр списка всех анкет
  • Просмотр карточки анкеты с полной детализацией.
  • Чтение журналов аудита";"";"";""
"Руководитель программ ДАДМ";"✅";"✅";"❌";"❌";"❌";"✅";"❌";"✅";"❌";"❌";"По всем стримам:
  • Просмотр списка всех анкет
  • Просмотр карточки анкеты с полной детализацией.
  • Блокировка (фиксация среза) всех анкет";"";"префикс_стенда_saprg";"saprg / saprg"
"Конфигуратор Смарт-Анкеты";"✅";"✅";"✅";"✅";"✅";"✅";"✅";"❌";"✅";"❌";"По всем стримам: полный набор прав на управление содержимым, кроме блокировки и аудита";"";"префикс_стенда_sacfg";"sacfg / sacfg"
"Представитель стрима-не участника ЖЦМ";"✅";"✅";"✅";"✅";"✅";"✅";"❌";"❌";"❌";"❌";"Анкеты своего стрима:
  • полный набор прав по блокам и анкетам своего стрима, кроме утверждения, блокировки, администрирования и аудита.";"Анкеты других стримов:
Недоступны";"префикс_стенда_sarep";"sarep / sarep"
