оль/Полномочия;view_list;view_card;create;edit;delete;export;approve;hold;admin;audit
DS ✓;✅ (корр);✅ (корр);❌ (корр);❌ (корр);❌ (корр);✅ (корр);❌ (корр);❌ (?);❌ (корр);❌ (?)
DS Lead ✓;✅ (корр);✅ (корр);✅ (корр);✅ (корр);✅ (корр);✅ (корр);✅ (корр);❌ (?);❌ (корр, однако доступен раздел Треккер с нашими инструментами);❌ (?)
DE;✅;✅;❌;❌;❌;✅;❌;❌;❌;❌
DE Lead;✅;✅;❌;✅;❌;✅;✅;❌;❌;❌
ModelOps;✅;✅;❌;❌;❌;✅;❌;❌;❌;❌
ModelOps Lead;✅;✅;✅;✅;✅;✅;✅;❌;❌;❌
Бизнес-заказчик;❌;❌;❌;❌;❌;❌;❌;❌;❌;❌
Бизнес-партнёр;✅;✅;❌;❌;❌;✅;❌;❌;❌;❌
Бизнес-партнёр стрима ;✅;✅;❌;❌;❌;✅;❌;❌;❌;❌
Validator;✅;✅;❌;❌;❌;✅;❌;❌;❌;❌
Validator Lead;✅;✅;❌;❌;❌;✅;❌;❌;❌;❌
Архитектор данных ML ;✅;✅;❌;✅;❌;✅;✅;❌;❌;❌
Аналитик качества (ДАДМ) ;✅;✅;❌;✅;❌;✅;✅;❌;❌;❌
Аналитик качества данных ;✅;✅;❌;✅;❌;✅;❌;❌;❌;❌
Прикладной администратор;✅;✅;❌;❌;❌;❌;❌;❌;✅;✅
Аудитор ИБ;✅;✅;❌;❌;❌;✅;❌;❌;❌;✅
Аудитор;✅;✅;❌;❌;❌;✅;❌;❌;❌;✅
(new) Руководитель программ ДАДМ test_sum_saprg;✅ (корр);✅ (корр);❌ (Баг! Пользователь может создавать анкету!);❌ (БАГ! Пользователь не должен уметь редактировать данные в созданной анкете);❌ (корр);✅ (корр);❌ (Баг ? Пользователь может подтверждать блоки, но кнопки подтверждения анкеты нету вообще);✅ (?);❌ (БАГ! Доступ к разделу Администрирования у этого пользователя не должно быть!);❌ (?)
(new) Конфигуратор Смарт-Анкеты test_sum_sacfg;✅ (корр);✅ (корр);✅ (корр);✅  (корр);✅ (корр);✅ (корр);"✅ (БАГ! Пользователь подтверждает блоки и когда все блоки подтверждены кнопка ""Завершить заполнение анкеты"" не становится активной!)";❌ (?);✅ (корр);❌ (?)
(new) Представитель стрима-не участника ЖЦМ;✅;✅;✅;✅;✅;✅;✅;❌;❌;❌
1) test_sum_sarep_dadm;;;;;;;;;;
2) test_sum_sarep_digagt;;;;;;;;;;
3) test_sum_sarep_idsrc;;;;;;;;;;
4) test_sum_sarep_mdlctl;;;;;;;;;;
5) test_sum_sarep_pirm;;;;;;;;;;
6) test_sum_sarep_strdat;;;;;;;;;;
