Стрим;Арх. Компонент;Название оригинальное;Название в смарт-анкете СУМ;Контекст;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоемкости;Вопросы
ПиРМ;Арх. Компонент. Модельный сервис;Регистрация / обновление сервиса в СУМ, обеспечение продвижения по ЖЦМ, обеспечение хранения артефактов модели;Регистрация / обновление сервиса в СУМ, обеспечение продвижения по ЖЦМ, обеспечение хранения артефактов модели;СУМ;,;10;Арх. Компонент. Модельный сервис;;
ПиРМ;Арх. Компонент. Модельный сервис;Регистрация / обновление модели в СУРМ, обеспечение присутствия модели на дашборде;Регистрация / обновление модели в СУРМ, обеспечение присутствия модели на дашборде;СУМ;Обязательная;10;Арх. Компонент. Модельный сервис;;
ПиРМ;Арх. Компонент. Модель;Регистрация / обновление версии модели в СУМ;Регистрация / обновление версии модели в СУМ;СУМ;Обязательная;5;Арх. Компонент. Модель;Роль модели;
ПиРМ;Арх. Компонент. Модельный сервис;Сбор и предоставление данных об аллокации модельного сервиса;Сбор и предоставление данных об аллокации модельного сервиса;СУМ;Обязательная;10;Арх. Компонент. Модельный сервис;;
ПиРМ;Арх. Компонент. Модельный сервис;Создание и актуализация графа преобразования данных, используемых модельным сервисом;Создание и актуализация графа преобразования данных, используемых модельным сервисом;СУМ;Обязательная;10;Арх. Компонент. Модельный сервис;;
ПиРМ;Арх. Компонент. Модельный сервис;Первичное подключение ИС к Репозиторию моделей;Первичное подключение ИС к Репозиторию моделей;РЕПО;Опциональная;22;Признак Первичное подключение ИС к РЕПО;;
ПиРМ;Арх. Компонент. Модельный сервис;Организация хранения артефактов модели в Репозитории моделей;Организация хранения артефактов модели в Репозитории моделей;РЕПО;Опциональная;10;Признак Хранение артефактов в РЕПО;;
ПиРМ;Арх. Компонент. Модельный сервис;Обеспечение переноса артефактов модели между контурами посредством Репозитория моделей;Обеспечение переноса артефактов модели между контурами посредством Репозитория моделей;РЕПО;Опциональная;10;Признак Перекладка артефактов между контурами посредством РЕПО;;
ПиРМ;Арх. Компонент. Модельный сервис;Предоставление данных из СХК через РЕПО;Предоставление данных из СХК через РЕПО;РЕПО;Опциональная;12;Признак Использование данных СХК через РЕПО;;
ПиРМ;Арх. Компонент. Модель;Выделение ресурсного пула под обучение и применение модели;Выделение ресурсного пула под обучение и применение модели;AutoML;Опциональная;3;Признак АвтоМЛ;;
ПиРМ;Арх. Компонент. Модель;Подключение источника данных для обучения модели;Подключение источника данных для обучения модели;AutoML;Опциональная;3;Признак АвтоМЛ;;
ПиРМ;Арх. Компонент. Модель;Встраивание и отладка внешнего кода в конвейер AutoML по обучению модели;Встраивание и отладка внешнего кода в конвейер AutoML по обучению модели;AutoML;Опциональная;3;Признак АвтоМЛ, Признак АвтоМЛ: встраивание внешнего кода;;
ПиРМ;Арх. Компонент. Модель;Реализация преобразований данных в конвейере AutoML по обучению модели;Реализация преобразований данных в конвейере AutoML по обучению модели;AutoML;Опциональная;2;Признак АвтоМЛ, Признак АвтоМЛ: требуется преобразование данных;;
ПиРМ;Арх. Компонент. Модель;Постановка модели на регламентное переобучение;Постановка модели на регламентное переобучение;AutoML;Опциональная;2;Признак АвтоМЛ, Признак АвтоМЛ: требуется постановка на регламент;;
ПиРМ;Арх. Компонент. Модель;Добавление новой ML-библиотеки и/или фреймворка;Добавление новой ML-библиотеки и/или фреймворка;AutoML;Опциональная;4;Признак АвтоМЛ, Признак АвтоМЛ: требуется новая библиотека;;
ПиРМ;Арх. Компонент. Модельный сервис;Airflow: обеспечение работоспособности и реконфигурация инфраструктуры для настройки DAG;Airflow: обеспечение работоспособности и реконфигурация инфраструктуры для настройки DAG;1655_18 Airflow;Обязательная;7;Арх. Компонент. Модельный сервис;;
ПиРМ;Арх. Компонент. Процесс Обработки данных;Подключение источника данных;Подключение источника данных;3813 Feature Store;Опциональная;20;Признак Реализуется в Хранилище признаков (для Объекта данных, куда впадает Процесс обработки данных);Тип процесса обработки данных: 1) Пакетный, 2) Потоковый;
ПиРМ;Арх. Компонент. Объект данных;Сохранение объекта сырых данных в Хранилище признаков;Сохранение объекта сырых данных в Хранилище признаков;3813 Feature Store;Опциональная;3;"Признак Реализуется в Хранилище признаков,
Признак Требуется сохранять сырые данные в Хранилище признаков";"Признак ""Требуется парсинг сырых данных в Хранилище признаков""";
ПиРМ;Арх. Компонент. Объект данных;Разработка Модельного набора данных;Разработка Набора признаков;3813 Feature Store;Опциональная;0,5;Признак Реализуется в Хранилище признаков;Количество признаков, Сложность реализации Набора признаков;
ПиРМ;Арх. Компонент. Модельный сервис;Регистрация Признака в Хранилище признаков;Регистрация Признака в Хранилище признаков;3813 Feature Store;Обязательная;0,1;Признак Реализуется в Хранилище признаков;Количество признаков;
ПиРМ;Арх. Компонент. Объект данных;Создание контроля качества Признаков в Хранилище признаков;Создание контроля качества Признаков в Хранилище признаков;3813 Feature Store;Опциональная;10;"Признак Реализуется в Хранилище признаков,
Признак Требуется контроль качества Признаков";Количество Наборов признаков с требованиями к контролю качества Признаков;
ПиРМ;Арх. Компонент. Система-источник;Предоставление доступа в ИС, создание проектов, настройка типового шаблона разметки;Настройка проекта и типового шаблона разметки;1860 Маркер;Опциональная;11;Требуется разметка данных источника в Маркере;Сложность настройки шаблона разметки данных и подготовки сырых данных для загрузки в Маркер;
ПиРМ;Арх. Компонент. Система-источник;Загрузка из открытых источников и подключение ML backend новой модели в ИС 1860, настройка Active Learning ;Добавление новой модели для автоматической разметки данных в ИС 1860, настройка Active Learning ;1860 Маркер;Опциональная;130;"Требуется разметка данных источника в Маркере
Требуется добавить новую модель для автоматической разметки данных в Маркере";Размер новой модели, дополнительные библиотеки загружаемой в банк модели, сложность подключения, конфигурации, тестирования и отладки модели, вкл. Active Learning и сетевые доступы;
ПиРМ;Арх. Компонент. Система-источник;Требуется регулярная загрузка новых в Маркер и экспорт размеченных данных из Маркера;Реализация регламентной загрузки данных в ИС 1860 и/или экспорта размеченных данных в ИС-потребитель;1860 Маркер;Опциональная;91;"Требуется разметка данных источника в Маркере
Требуется регламентный импорт/экспорт данных или отчетности в/из Маркер";Сложность реализации интеграции, правил обработки данных в Маркере в т.ч. конфиденциальных (хэширование, хранение и т.п.) и настройки режима обмена данными;
ПиРМ;Арх. Компонент. Система-источник;Развертывание отдельного экземпляра системы под спец. данные;Развертывание отдельного экземпляра ИС 1860 под конфиденциальные данные;1860 Маркер;Опциональная;251;Требуются специальные условия хранения и обработки конфиденциальных данных, не поддерживаемые коммунальным сервисом;Правила обработки данных, в т.ч. конфиденциальных (хэширование, хранение и т.п.), режим обмена данными, сложность развертывания отдельного инстанса Маркера и наличие доп. доработок;
ПиРМ;Арх. Компонент. Модельный сервис;Ручная обработка результатов разметки обращений клиентов посредством моделей в тех случаях, когда степень уверенности модели (prediction score) низкий;Ручная обработка результатов автоматизированной разметки обращений клиентов в случае низкой степени уверенности модели;1860_2 Голос клиента;Опциональная;103;Требуется ручная обработка результатов автоматизированной разметки данных;"Сложность развертывания отдельного инстанса Ручной разметки голосов и наличие доп. доработок
";
ПиРМ;Арх. Компонент. Модельный сервис;Развертывание собственного экземпляра BI-платформы ;Визуализация результатов работы модельного сервиса;1648_7 Apache Superset;Опциональная;289;Требуется визуализация результатов работы модельного сервиса;Сложность развертывания отдельного инстанса Суперсета, наличие доп. доработок, применение Clickhouse вместо PostgreSQL, способ загрузки данных (вручную/по интеграциии);
ПиРМ;Арх. Компонент. Модель;Загрузка моделей или библиотек в контур банка;;1648 Юпитер;Опциональная;Да;Требуется новая библиотека/ базовая модель;Источник модели, кол-во и сложность устранения уязвимостей, размер модели/библиотеки, кол-во, вес и сложность настройки обязательных доп. библиотек и связей с ними;В состав работ входит: поиск модели, загрузка из открытых источников, проверка сканером ИБ, устранение уязвимостей, сегментация (для больших моделей), занесение в банк, сборка, тестирование работоспособности модели . Опционально за отдельную плату: доработка, настройка, оптимизация
ПиРМ;Арх. Компонент. Модельный сервис;Добавление оборудования в кластер SSDP;;ИС 1648 SSDP;Опциональная;Да;Требуется расширение инфраструктуры кластера;;
ПиРМ;Арх. Компонент. Модельный сервис;Настройка публикаций и бэкендов модельных сервисов на коммунальных HAPROXY балансировщиках;Настройка публикаций и бэкендов модельных сервисов на коммунальных HAPROXY балансировщиках;ИС 1655;Опциональная;2;Тип работ: Разработка;;
ПиРМ;Арх. Компонент. Модельный сервис;Выделение ресурсного пула под обучение и исполнение модели;Выделение ресурсного пула под обучение и исполнение модели;ИС 1655;Опциональная;3;Тип работ: Разработка;;
ПиРМ;Арх. Компонент. Модельный сервис;Контроль соблюдение архитектурных требований ПИМ и использования коммунальных ресурсов ;Контроль соблюдение архитектурных требований ПИМ и использования коммунальных ресурсов ;ИС 1655;Опциональная;2;Тип работ: Разработка, Доработка;;
ПиРМ;Арх. Компонент. Модельный сервис;Консультации по разворачиванию оркестратора;;ИС 1655_1;Опциональная;;Требуется оркестратор ПИМ;;
ПиРМ;Арх. Компонент. Модельный сервис;Кастомизация конфигурации оркестратора;;ИС 1655_1;Опциональная;;Требуется оркестратор ПИМ;;
ПиРМ;Арх. Компонент. Модельный сервис;Консультация по подключению к тракту логированию моделей;;ИС 1655_1;Обязательная;;Арх. Компонент. Модельный сервис;;
ПиРМ;Арх. Компонент. Модельный сервис;Настройка kafka и тракта логирования для нового потребителя;;ИС 1655_1;Обязательная;;Необходимость логирования ПИМ;;
